INFY_Q1_July_22_1 | Moderator
INFY_Q1_July_22_440 | This is something which we have
INFY_Q1_July_22_441 | not done before.
INFY_Q1_July_22_442 | So these are very much higher than what we did in the past.
INFY_Q1_July_22_443 | But we think this is
INFY_Q1_July_22_444 | something which is going to stand up in good stead in terms of attrition and we have seen three
INFY_Q1_July_22_445 | quarters of the attrition benefits and expect it to continue.
INFY_Q1_July_22_446 | Keith Bachman
INFY_Q1_July_22_447 | We cover a number of software companies and software companies have started to say they are
INFY_Q1_July_22_448 | seeing pockets of weakness with demand elongation on sales cycles.
INFY_Q1_July_22_449 | It does not sound like we
INFY_Q1_July_22_450 | made one very specific industry comment but it does not sound like you are seeing the same any
INFY_Q1_July_22_451 | kind of iteration on the demand side particularly on the negative side, but if you could just clarify,
INFY_Q1_July_22_452 | are you seeing any elongation on the new business front, yes or no, and if the macro does weaken
INFY_Q1_July_22_453 | will that in fact help your wage situation and that is it from me.
INFY_Q1_July_22_454 | Thank you.
INFY_Q1_July_22_455 | Salil Parekh
INFY_Q1_July_22_456 | Thanks for that.
INFY_Q1_July_22_457 | A couple of points that you raised, I think what we see on the demand, the
INFY_Q1_July_22_458 | pipeline that we have today for our large deals is larger than what we had three or six months ago.
INFY_Q1_July_22_459 | Having said that, we of course recognize what is going on in the global environment and we
INFY_Q1_July_22_460 | mentioned a couple of areas.
INFY_Q1_July_22_461 | Nilanjan talked within retail, he also mentioned within Financial
INFY_Q1_July_22_462 | Services - mortgages.
INFY_Q1_July_22_463 | So we see pockets where we see some impact.
INFY_Q1_July_22_464 | On the overall deal discussions we see a little bit where it is slowing in the decision making;
INFY_Q1_July_22_465 | however, the pipeline remains strong for us today.
INFY_Q1_July_22_466 | We have also get two types of deals, one is
INFY_Q1_July_22_467 | deals which are on digital transformation or cloud which are growth orientated for clients driving to
INFY_Q1_July_22_468 | what they want to do with their customers in their supply chain, how they want to make an impact.
INFY_Q1_July_22_469 | The second is on cost, we have a very strong play on cost and efficiency through our automation
INFY_Q1_July_22_470 | work, through our artificial intelligence work where we can really impact the cost base in the tech
INFY_Q1_July_22_471 | landscape of our clients.
INFY_Q1_July_22_472 | So those are areas which we are already very active within this
INFY_Q1_July_22_473 | environment and given our positioning we feel good that those will start to come into play as and
INFY_Q1_July_22_474 | when the environment changes.
INFY_Q1_July_22_475 | But today this is how we are seeing the demand situation.
INFY_Q1_July_22_476 | Now your other question was will that have a change on the wage if the macro evolving.
INFY_Q1_July_22_477 | We do not
INFY_Q1_July_22_478 | have a clear view on where that will go because it is a function of how the macro evolves and what
INFY_Q1_July_22_479 | happens.
INFY_Q1_July_22_480 | Of course, we are seeing attrition starting to come off a little bit and that will clearly have
INFY_Q1_July_22_481 | a positive impact for us with respect to compensation.
INFY_Q1_July_22_482 | So the timeline is not clear, it depends on
INFY_Q1_July_22_483 | how the macro evolves.
INFY_Q1_July_22_484 | Keith Bachman
INFY_Q1_July_22_485 | Okay great many thanks.
INFY_Q1_July_22_486 | Moderator
INFY_Q1_July_22_487 | ahead.
INFY_Q1_July_22_488 | Nitin Padmanabhan
INFY_Q1_July_22_489 | Good morning.
INFY_Q1_July_22_490 | Thanks for the opportunity.
INFY_Q1_July_22_491 | I had two questions.
INFY_Q1_July_22_492 | One, is from a margin perspective,
INFY_Q1_July_22_493 | whatever we saw as one offs in the previous quarter which included visa and these contract
INFY_Q1_July_22_494 | provisions - both of them have been sort of offset in this quarter is that a fair understanding?
INFY_Q1_July_22_495 | The
INFY_Q1_July_22_496 | second is in terms of salary increases is it only for the associate level this quarter and if so then
INFY_Q1_July_22_497 | the question is that we have 145,000 associates JL3 and below and 130,000 people in the mid
INFY_Q1_July_22_498 | level and general understanding is mid level obviously as a percentage of the employee cost it
INFY_Q1_July_22_499 | should be higher so the thought process was about should not your margin impact be even higher
INFY_Q1_July_22_500 | next quarter - if you could just help with that thought process that will be very helpful?
INFY_Q1_July_22_501 | Those are
INFY_Q1_July_22_502 | two questions.
INFY_Q1_July_22_503 | Thank you.
INFY_Q1_July_22_504 | Nilanjan Roy
INFY_Q1_July_22_505 | As I said in the margin walk, we had a benefit of 50 bps in RPP which is a combination of clients
INFY_Q1_July_22_506 | contractual provisions reversals partially offset by the discounts.
INFY_Q1_July_22_507 | So we have seen a benefit there.
INFY_Q1_July_22_508 | There is no way we said that has it been eroded, we have caught the benefit of client contractual
INFY_Q1_July_22_509 | provisions clearly.
INFY_Q1_July_22_510 | The other one on visa, travel - I think they largely offset each other.
INFY_Q1_July_22_511 | On the outlook on wages, we
INFY_Q1_July_22_512 | have done it for most of our employees, it is up to mid level.
INFY_Q1_July_22_513 | For more of the senior levels is what
INFY_Q1_July_22_514 | we are going to roll out in July and that impact would be far less than 1.6% which we have done
INFY_Q1_July_22_515 | which is a much more broad based for us.
INFY_Q1_July_22_516 | Nitin Padmanabhan
INFY_Q1_July_22_517 | Both associates and mid level happen this quarter itself.
INFY_Q1_July_22_518 | It is not only associate.
INFY_Q1_July_22_519 | Nilanjan Roy
INFY_Q1_July_22_520 | Yes, associates and mid level, correct.
INFY_Q1_July_22_521 | Nitin Padmanabhan
INFY_Q1_July_22_522 | Correct that is very helpful.
INFY_Q1_July_22_523 | Thank you so much.
INFY_Q1_July_22_524 | Moderator
INFY_Q1_July_22_525 | go ahead.
INFY_Q1_July_22_526 | Bryan Bergin
INFY_Q1_July_22_527 | Thanks for taking the question.
INFY_Q1_July_22_528 | I wanted to just dig on the commentary around pockets of
INFY_Q1_July_22_529 | weakness.
INFY_Q1_July_22_530 | So I heard you mentioned mortgages, mentioned subcomponent of retail.
INFY_Q1_July_22_531 | Can you just
INFY_Q1_July_22_532 | give us a sense and quantify what mix of your business is actually seeing some slowing decision
INFY_Q1_July_22_533 | making is it 5%, is it 10%, is it less and even does this help frame or quantify areas that are seeing
INFY_Q1_July_22_534 | pockets of weakness?
INFY_Q1_July_22_535 | Salil Parekh
INFY_Q1_July_22_536 | Thanks for your question.
INFY_Q1_July_22_537 | This is Salil.
INFY_Q1_July_22_538 | We do not quantify typically what part of Financial Services
INFY_Q1_July_22_539 | is mortgages or the other areas which are impacted.
INFY_Q1_July_22_540 | We are now seeing pockets, this is not across
INFY_Q1_July_22_541 | our whole business.
INFY_Q1_July_22_542 | And the way I would look at it is with all of that given our pipeline we have
INFY_Q1_July_22_543 | increased our revenue guidance.
INFY_Q1_July_22_544 | So the majority of our business is still seeing good demand.
INFY_Q1_July_22_545 | It is
INFY_Q1_July_22_546 | really pockets without quantifying, that is how I would give a context to it.
INFY_Q1_July_22_547 | Bryan Bergin
INFY_Q1_July_22_548 | Okay and then just a follow-up on margin.
INFY_Q1_July_22_549 | You gave sequential changes can you give us what the
INFY_Q1_July_22_550 | year-on-year changes in operating margin with the different categories?
INFY_Q1_July_22_551 | Nilanjan Roy
INFY_Q1_July_22_552 | So largely we know it was the comp related hike that is near only about 370 basis points that was
INFY_Q1_July_22_553 | the biggest one and there were some rupee benefits offset by both cross currency as well and
INFY_Q1_July_22_554 | then we got some benefits of cost optimization, we got some hits on lower utilization.
INFY_Q1_July_22_555 | So these are
INFY_Q1_July_22_556 | the broad things but the biggest one was the comp which was about 370 basis points.
INFY_Q1_July_22_557 | Bryan Bergin
INFY_Q1_July_22_558 | Alright thank you.
INFY_Q1_July_22_559 | Moderator
INFY_Q1_July_22_560 | Management.
INFY_Q1_July_22_561 | Please go ahead.
INFY_Q1_July_22_562 | Sudheer Guntupalli
INFY_Q1_July_22_563 | Good morning gentlemen.
INFY_Q1_July_22_564 | Thanks for giving me this opportunity.
INFY_Q1_July_22_565 | I have just one question on
INFY_Q1_July_22_566 | margins.
INFY_Q1_July_22_567 | Ideally the strong growth at the headline level should have translated into some operating
INFY_Q1_July_22_568 | leverage, but that does not seem to be happening and Nilanjan we seem to be of the view, we will
INFY_Q1_July_22_569 | chase growth for now and focus on margin optimization at a later date.
INFY_Q1_July_22_570 | What is the risk to that
INFY_Q1_July_22_571 | hypothesis because this growth margin paradox seem to be a mere reflection of what is happening
INFY_Q1_July_22_572 | in U.S. and U.K. now a very tight job market, very high nominal growth, but very little benefit
INFY_Q1_July_22_573 | trickling down to the bottomline level.
INFY_Q1_July_22_574 | So sooner or later this nominal growth rates may cool off and
INFY_Q1_July_22_575 | onsite job markets and some supply costs may auto recalibrate.
INFY_Q1_July_22_576 | But back in India job market may
INFY_Q1_July_22_577 | not be as much of a free market as it is in U.K. and U.S. there may be some sticky elements both
INFY_Q1_July_22_578 | at headcount and wage level translating into negative operating leverage as demand moderates.
INFY_Q1_July_22_579 | So what is the risk that margins will remain structurally lower than even the pre-COVID levels
INFY_Q1_July_22_580 | going ahead because demand tends to be more cyclical while some of these supply costs tend to
INFY_Q1_July_22_581 | be more sticky?
INFY_Q1_July_22_582 | Nilanjan Roy
INFY_Q1_July_22_583 | There are a couple of things.
INFY_Q1_July_22_584 | See one is that many of these cost increases cannot be passed on
INFY_Q1_July_22_585 | the client on day one.
INFY_Q1_July_22_586 | If I have to give a wage hike on all my existing base they will come up for
INFY_Q1_July_22_587 | renewals that is the time when you have a wage discussion.
INFY_Q1_July_22_588 | When you are doing new deal,
INFY_Q1_July_22_589 | automatically we will build it and the industry in a way will build it into their wage profile.
INFY_Q1_July_22_590 | So these
INFY_Q1_July_22_591 | things will automatically flow back, there is no free lunch for anybody.
INFY_Q1_July_22_592 | So that is one thing which
INFY_Q1_July_22_593 | will happen over a period of time, but that is more of a generic point I am making.
INFY_Q1_July_22_594 | But in terms of
INFY_Q1_July_22_595 | subcons, we have operated at 6%-6.5% of subcon; today we are sitting at 11.3%, there is no
INFY_Q1_July_22_596 | reason for us to be at these levels unless we know what the job market is.
INFY_Q1_July_22_597 | In the overall demand
INFY_Q1_July_22_598 | environment, when our recruiting picks up we can replace these subcons with our own headcount,
INFY_Q1_July_22_599 | put more freshers into projects and this is something we have been doing very well in the past as
INFY_Q1_July_22_600 | well.
INFY_Q1_July_22_601 | So I think these levers are well known for us, we know how utilization works, our pyramid
INFY_Q1_July_22_602 | works, so we are quite confident in the forward model of taking out cost from our overall structure.
INFY_Q1_July_22_603 | Sudheer Guntupalli
INFY_Q1_July_22_604 | Just one more question if I may.
INFY_Q1_July_22_605 | So when we say the pipeline is larger now, just curious if the
INFY_Q1_July_22_606 | pipeline is getting bigger and bigger because some of the decision making is getting slower, is
INFY_Q1_July_22_607 | there any correlation you read in between the two?
INFY_Q1_July_22_608 | Salil Parekh
INFY_Q1_July_22_609 | The pipeline what we are seeing is there is appetite and you go by different industry for Digital
INFY_Q1_July_22_610 | transformation programs, for large cloud programs, for programs which start to relate to cost and
INFY_Q1_July_22_611 | efficiency, that is what is in the pipeline.
INFY_Q1_July_22_612 | It is not a function of the timeline which the delay that you
INFY_Q1_July_22_613 | referenced which is causing an increase, it is where we see traction with more and more client
INFY_Q1_July_22_614 | discussions as of today that we see.
INFY_Q1_July_22_615 | Now we will see how that evolves, that is the outlook we have
INFY_Q1_July_22_616 | today.
INFY_Q1_July_22_617 | Sudheer Guntupalli
INFY_Q1_July_22_618 | Thanks Salil.
INFY_Q1_July_22_619 | Thanks Nilanjan.
INFY_Q1_July_22_620 | That is it from my side.
INFY_Q1_July_22_621 | All the very best.
INFY_Q1_July_22_622 | Moderator
INFY_Q1_July_22_623 | Ankur Rudra
INFY_Q1_July_22_624 | Thank you for taking my question.
INFY_Q1_July_22_625 | First question is what is the level of conservatism or realism
INFY_Q1_July_22_626 | infused into both the revenue and the margin guide this time, part of that is on the revenue guide
INFY_Q1_July_22_627 | we have given the potential macro headwinds ahead of us and the ask rate from the second half of
INFY_Q1_July_22_628 | this year.
INFY_Q1_July_22_629 | Similarly, on margins we still have another round of wage hikes which can impact
INFY_Q1_July_22_630 | margins by maybe as much as 100 basis points if I look at the wage hike impact so far and a
INFY_Q1_July_22_631 | similar ratio between the first and the second rounds in the previous years and also keeping up
INFY_Q1_July_22_632 | travel and facility costs?
INFY_Q1_July_22_633 | Thank you.
INFY_Q1_July_22_634 | Salil Parekh
INFY_Q1_July_22_635 | Thanks for the question.
INFY_Q1_July_22_636 | This is Salil.
INFY_Q1_July_22_637 | Let me start off and then Nilanjan may have a few points to
INFY_Q1_July_22_638 | add.
INFY_Q1_July_22_639 | On the guidance for growth, as we have shared in the past, the approach we take is we see
INFY_Q1_July_22_640 | how things are as we look at the financial year today.
INFY_Q1_July_22_641 | What we saw is in Q1 we had extremely
INFY_Q1_July_22_642 | strong revenue growth - 5.5% and we also had underlying volume growth which was very strong.
INFY_Q1_July_22_643 | When we see the outlook, where we have clarity looking ahead for some period of time and then a
INFY_Q1_July_22_644 | set of estimates that we have for the rest of the financial year and also looking at how typically H2
INFY_Q1_July_22_645 | works versus H1 and then putting in some views on where the end of the year could be.
INFY_Q1_July_22_646 | Based on
INFY_Q1_July_22_647 | that, we felt comfortable to increase the revenue growth guidance, whether it is conservative or
INFY_Q1_July_22_648 | realistic that is the approach we take to make sure that we then share what we think the revenue is
INFY_Q1_July_22_649 | going to look like from here.
INFY_Q1_July_22_650 | On the margin I will start off and then Nilanjan will talk a little bit about the wage component and
INFY_Q1_July_22_651 | what we have done.
INFY_Q1_July_22_652 | Overall on the margin, we have made sure that we work to get all of the
INFY_Q1_July_22_653 | levers in place.
INFY_Q1_July_22_654 | So the approach to driving cost efficiency is in place, several levers that Nilanjan
INFY_Q1_July_22_655 | mentioned, one of the bigger ones we got the bulk impact, the vast majority of our compensation
INFY_Q1_July_22_656 | increase already done in Q1.
INFY_Q1_July_22_657 | So yes there is a small component but it is not really a huge
INFY_Q1_July_22_658 | component that will come up and then we see steadily other areas which will help us.
INFY_Q1_July_22_659 | There are
INFY_Q1_July_22_660 | areas where we can focus on how the subcontracting works, there are areas where we can focus
INFY_Q1_July_22_661 | on discussions with clients vis-à-vis wage increases and COLA, areas where we are doing work
INFY_Q1_July_22_662 | which is having significant impact for clients.
INFY_Q1_July_22_663 | So we think there are a set of those levers that can help us through the margin discussion that will
INFY_Q1_July_22_664 | be focused on in this financial year.
INFY_Q1_July_22_665 | Our approach is to make sure that we remain a high margin
INFY_Q1_July_22_666 | business and that is the underlying thing that we are working with.
INFY_Q1_July_22_667 | Given where we are, given the
INFY_Q1_July_22_668 | inflation around the world, we thought it was clear to make sure that we communicated that in the
INFY_Q1_July_22_669 | way we see the markets.
INFY_Q1_July_22_670 | Nilanjan, anything else, if you want to add?
INFY_Q1_July_22_671 | Nilanjan Roy
INFY_Q1_July_22_672 | No.
INFY_Q1_July_22_673 | That is good.
INFY_Q1_July_22_674 | Ankur Rudra
INFY_Q1_July_22_675 | Just a quick follow-up if I may on margins.
INFY_Q1_July_22_676 | Nilanjan are there any one-offs in the margin this time,
INFY_Q1_July_22_677 | asking another way what would be the pro-forma margins, if the provision reversal was not to
INFY_Q1_July_22_678 | happen and related to that can you say that 20% in Q1 should be the bottom of margins going
INFY_Q1_July_22_679 | forward so that we can get back to 21% for the year realistically?
INFY_Q1_July_22_680 | Nilanjan Roy
INFY_Q1_July_22_681 | Yes, so I think we have mentioned the margin walk at the beginning of the call.
INFY_Q1_July_22_682 | So if we are at
INFY_Q1_July_22_683 | 20% and we are guiding at the bottom end of 21%, so mathematics indicates that we have to
INFY_Q1_July_22_684 | improve going forward.
INFY_Q1_July_22_685 | So absolutely, from 20% we will have to see the improvement quarter-on-
INFY_Q1_July_22_686 | quarter.
INFY_Q1_July_22_687 | Ankur Rudra
INFY_Q1_July_22_688 | Thank you and best of luck.
INFY_Q1_July_22_689 | Moderator
INFY_Q1_July_22_690 | Ravi Menon
INFY_Q1_July_22_691 | Congrats on good set of numbers.
INFY_Q1_July_22_692 | Just wanted your thoughts on how broad based in North
INFY_Q1_July_22_693 | America you will see such problems to sustain for a long time until you call out some headwinds in
INFY_Q1_July_22_694 | BFSI, even that still have quite a bit of revenue.
INFY_Q1_July_22_695 | If you could give some color about how sustained
INFY_Q1_July_22_696 | the demand environment is there.
INFY_Q1_July_22_697 | And secondly on the pyramids, we have already seen a large
INFY_Q1_July_22_698 | intake of freshers last year so had hoped that some of that would have come into production and
INFY_Q1_July_22_699 | helped us offset the margin headwinds through this quarter but looks like given the utilization, as
INFY_Q1_July_22_700 | well it does not look like much of that has happened.
INFY_Q1_July_22_701 | So, if you could give some color on that?
INFY_Q1_July_22_702 | Salil Parekh
INFY_Q1_July_22_703 | This is Salil.
INFY_Q1_July_22_704 | I did not catch the first part of the question.
INFY_Q1_July_22_705 | I think it was about demand but maybe
INFY_Q1_July_22_706 | you can just say the first question?
INFY_Q1_July_22_707 | Ravi Menon
INFY_Q1_July_22_708 | It was around the demand.
INFY_Q1_July_22_709 | We have seen broad-based revenue addition across verticals in North
INFY_Q1_July_22_710 | America and if you are seeing the pipeline also along similar lines.
INFY_Q1_July_22_711 | So are there any specific
INFY_Q1_July_22_712 | verticals where you see some softness starting to come in?
INFY_Q1_July_22_713 | Salil Parekh
INFY_Q1_July_22_714 | As we referenced, we see some pockets of softness within our overall business.
INFY_Q1_July_22_715 | That is why we
INFY_Q1_July_22_716 | wanted to be very clear that that is something that is visible.
INFY_Q1_July_22_717 | Couple of examples we have shared
INFY_Q1_July_22_718 | on Financial Services and Retail, there are areas where we see that weakness; however, once we
INFY_Q1_July_22_719 | say that we also have a view and we see it in our pipeline the overall pipeline is stronger.
INFY_Q1_July_22_720 | So there
INFY_Q1_July_22_721 | are areas where we see some good traction as well and it is a mix of the growth and the cost
INFY_Q1_July_22_722 | opportunities within our pipeline.
INFY_Q1_July_22_723 | I think the second one was about the pyramid?
INFY_Q1_July_22_724 | Nilanjan Roy
INFY_Q1_July_22_725 | Yes we have hired a lot of freshers last year and many of them also have gone into training
INFY_Q1_July_22_726 | pipeline because as we had the previous year there was nothing really in the pipeline in terms of
INFY_Q1_July_22_727 | hiring.
INFY_Q1_July_22_728 | So in fact if you see our utilization there is a 2% gap between the excluding trainees and
INFY_Q1_July_22_729 | including trainee numbers on a year-on-year basis as well.
INFY_Q1_July_22_730 | We continue to deploy them into
INFY_Q1_July_22_731 | projects.
INFY_Q1_July_22_732 | Like I said, you cannot overnight stuff projects with freshers and that is why it is important
INFY_Q1_July_22_733 | to build a pipeline in advance and make them go through the trainings and then put them into
INFY_Q1_July_22_734 | production bench and then move them into projects as well.
INFY_Q1_July_22_735 | So that benefit will come in and we
INFY_Q1_July_22_736 | are seeing that slowly coming in, but it is important to invest ahead.
INFY_Q1_July_22_737 | If you are planning just in time,
INFY_Q1_July_22_738 | you will be probably sub optimizing in terms of how fast you can deploy.
INFY_Q1_July_22_739 | So that is why we have
INFY_Q1_July_22_740 | made these investments because we know it will take time for these freshers to be productive,
INFY_Q1_July_22_741 | hence it is important to make that investment ahead.
INFY_Q1_July_22_742 | Ravi Menon
INFY_Q1_July_22_743 | Thanks gentlemen.
INFY_Q1_July_22_744 | One follow-up of this last quarter's contractual revenue.
INFY_Q1_July_22_745 | So did you recognize
INFY_Q1_July_22_746 | all of them this quarter or is there still something pending?
INFY_Q1_July_22_747 | Nilanjan Roy
INFY_Q1_July_22_748 | Yes, it was all recognized this quarter.
INFY_Q1_July_22_749 | Ravi Menon
INFY_Q1_July_22_750 | Thank you.
INFY_Q1_July_22_751 | Best of luck.
INFY_Q1_July_22_752 | Moderator
INFY_Q1_July_22_753 | Pankaj Kapoor
INFY_Q1_July_22_754 | Thanks for the opportunity.
INFY_Q1_July_22_755 | Salil can you give some color on the overall order book since the
INFY_Q1_July_22_756 | reported TCV, what we give that covers only $50 mn plus deal and may not really be
INFY_Q1_July_22_757 | representative.
INFY_Q1_July_22_758 | So any quantitative or qualitative comment on the scale and how the overall order
INFY_Q1_July_22_759 | book has grown, that will be helpful?
INFY_Q1_July_22_760 | Salil Parekh
INFY_Q1_July_22_761 | Thanks for the question.
INFY_Q1_July_22_762 | As you know, we share the large deal win numbers.
INFY_Q1_July_22_763 | We do not publish
INFY_Q1_July_22_764 | the overall deal wins.
INFY_Q1_July_22_765 | Having said that, the main context I would put is the increase in the growth
INFY_Q1_July_22_766 | guidance that we have provided and that factors in all of the inputs that you may be looking for,
INFY_Q1_July_22_767 | which essentially comes from a very strong Q1 execution - 5.5% QoQ, 21.4% YoY growth and
INFY_Q1_July_22_768 | then a view that we have on what we see in the coming quarters and an overall view of H1, H2 in
INFY_Q1_July_22_769 | our mix within the company - that is sort of broadly how we looked at it.
INFY_Q1_July_22_770 | On the large deals, we
INFY_Q1_July_22_771 | have shared this in the past.
INFY_Q1_July_22_772 | Typically, this is a number which is a little bit more volatile because
INFY_Q1_July_22_773 | we only report deals which are larger than $50 million in our large deals and so that is really the
INFY_Q1_July_22_774 | way you can look at.
INFY_Q1_July_22_775 | Pankaj Kapoor
INFY_Q1_July_22_776 | My second question is on the profitability in the manufacturing vertical where the margins have
INFY_Q1_July_22_777 | been coming down and in fact the last three quarters probably they have halved despite a very
INFY_Q1_July_22_778 | strong revenue growth.
INFY_Q1_July_22_779 | I understand this could be because of a very large deal which is still
INFY_Q1_July_22_780 | ramping up there, can you give a sense of how the profitability curve in this vertical could shape
INFY_Q1_July_22_781 | over the next two, three quarters.
INFY_Q1_July_22_782 | What I am trying to understand is that has it bottomed out now or
INFY_Q1_July_22_783 | you think that this could potentially go down further?
INFY_Q1_July_22_784 | Thank you.
INFY_Q1_July_22_785 | Nilanjan Roy
INFY_Q1_July_22_786 | Firstly, you have seen the revenue growth which has been quite spectacular in this segment.
INFY_Q1_July_22_787 | This
INFY_Q1_July_22_788 | has been led by large deals.
INFY_Q1_July_22_789 | As we talk about our approach, from day one a lot of clients would
INFY_Q1_July_22_790 | like to see savings, but we are very clear that over a period of time we have a lot of cost
INFY_Q1_July_22_791 | optimization levers.
INFY_Q1_July_22_792 | On day one you cannot pivot the cost structure, whereas clients may ask for
INFY_Q1_July_22_793 | the savings, but we know there are enough levers over time that we continue to deploy on all
INFY_Q1_July_22_794 | these large deals.
INFY_Q1_July_22_795 | And if I go back to the last three years, four years in fact when the large deal
INFY_Q1_July_22_796 | strategy started, we have actually seen an increase in margins over that period.
INFY_Q1_July_22_797 | So, there is no
INFY_Q1_July_22_798 | historical correlation in saying whether the large deals are dilutive, because we continue working
INFY_Q1_July_22_799 | on taking out costs from the system and that gets factored into our entire process.
INFY_Q1_July_22_800 | We look at how
INFY_Q1_July_22_801 | we are going to optimize onsite offshore, many of these projects require dramatic automation, we
INFY_Q1_July_22_802 | can inject that through all our services which we are providing, we know how the pyramid works.
INFY_Q1_July_22_803 | So these are the things which we know works over the lifetime of these large deals and that is
INFY_Q1_July_22_804 | something we know we can deploy.
INFY_Q1_July_22_805 | So that is something, without getting specifically into
INFY_Q1_July_22_806 | manufacturing, what we do well.
INFY_Q1_July_22_807 | Pankaj Kapoor
INFY_Q1_July_22_808 | Got it.
INFY_Q1_July_22_809 | Thank you and wish you all the best.
INFY_Q1_July_22_810 | Moderator
INFY_Q1_July_22_811 | ahead.
INFY_Q1_July_22_812 | Gaurav Rateria
INFY_Q1_July_22_813 | Good morning.
INFY_Q1_July_22_814 | Thank you for taking my question.
INFY_Q1_July_22_815 | So firstly is there any difference in the client
INFY_Q1_July_22_816 | decision making behavior in U.S. versus European clients and the reason is that I am asking is
INFY_Q1_July_22_817 | U.S. is seeing fair bit of broad-based growth across segments but when you look at Europe, there
INFY_Q1_July_22_818 | is a weakness specifically in retail and communication vertical whereas the other two verticals,
INFY_Q1_July_22_819 | energy, Hi-Tech has grown very, very well.
INFY_Q1_July_22_820 | So just trying to understand are there any client
INFY_Q1_July_22_821 | specific pockets especially in Europe where you kind of see decision making behavior has
INFY_Q1_July_22_822 | changed compared to the U.S. market?
INFY_Q1_July_22_823 | Salil Parekh
INFY_Q1_July_22_824 | Thanks for that question.
INFY_Q1_July_22_825 | Today we are not seeing something which is more geography based as
INFY_Q1_July_22_826 | you are describing.
INFY_Q1_July_22_827 | We see something which is more globally industry-based and client based, as
INFY_Q1_July_22_828 | you know well is mainly U.S, Europe and Australia.
INFY_Q1_July_22_829 | So not so much color on which is more
INFY_Q1_July_22_830 | geography related.
INFY_Q1_July_22_831 | Gaurav Rateria
INFY_Q1_July_22_832 | Second question on margins, your margin outlook at the lower end - you explained very well the
INFY_Q1_July_22_833 | supply side and cost related factors which has led to this, but is there also an element of
INFY_Q1_July_22_834 | expectation of pricing increase that has been tapered down, which has led to you to now take the
INFY_Q1_July_22_835 | margin outlook to the lower end and is it fair to say that with all the cost levers that you have in
INFY_Q1_July_22_836 | place the exit margin should be better than the lower end of the guidance?
INFY_Q1_July_22_837 | Thank you.
INFY_Q1_July_22_838 | Nilanjan Roy
INFY_Q1_July_22_839 | I think when we do our margins forecast with a combination of factors that we look at and that
INFY_Q1_July_22_840 | equation keeps on changing and it is more dynamic.
INFY_Q1_July_22_841 | What happened in the previous quarter, what
INFY_Q1_July_22_842 | do we see as outlook, what is happening on subcon, wage inflation - so that mix continues to
INFY_Q1_July_22_843 | change and evolve.
INFY_Q1_July_22_844 | Sometimes we have to push harder on some pedals in terms of accelerating
INFY_Q1_July_22_845 | some programs.
INFY_Q1_July_22_846 | And then going back to the level where we are today at 20% and we are saying
INFY_Q1_July_22_847 | we will be at the bottom end of 21%, I think that should give you a good sense of the margin
INFY_Q1_July_22_848 | trajectory for the rest of the year.
INFY_Q1_July_22_849 | Gaurav Rateria
INFY_Q1_July_22_850 | Thank you.
INFY_Q1_July_22_851 | Moderator
INFY_Q1_July_22_852 | ahead.
INFY_Q1_July_22_853 | Ritesh Rathod
INFY_Q1_July_22_854 | Just on this margin within a quarter you have to lower your guidance on the margin side so this is
INFY_Q1_July_22_855 | despite rupee depreciation benefit, despite attrition coming down in last two quarters.
INFY_Q1_July_22_856 | So what has
INFY_Q1_July_22_857 | surprised internally in your expectations, so that you have to bring it down to the lower end?
INFY_Q1_July_22_858 | Nilanjan Roy
INFY_Q1_July_22_859 | Yes, I think I just mentioned this is a very dynamic and moving forecast completely.
INFY_Q1_July_22_860 | What is the
INFY_Q1_July_22_861 | impact of attrition, how much wage hikes will come in, new hires - it is very dynamic, how the
INFY_Q1_July_22_862 | pricing plays out.
INFY_Q1_July_22_863 | So, this is a very fluid situation, but the 21% to 23% band we said, we are within
INFY_Q1_July_22_864 | that but of course at the bottom end of it.
INFY_Q1_July_22_865 | We are committed from where we are today at 20% to do
INFY_Q1_July_22_866 | all our various cost optimizations, factoring the cost impacts of what we see in terms of wage
INFY_Q1_July_22_867 | inflation there could be potential benefits of the rupee etc.
INFY_Q1_July_22_868 | So it is a combination of all this into the
INFY_Q1_July_22_869 | forecast.
INFY_Q1_July_22_870 | Ritesh Rathod
INFY_Q1_July_22_871 | What would have been the bigger surprise element?
INFY_Q1_July_22_872 | would it be the wage or would it be the pricing
INFY_Q1_July_22_873 | benefit not coming through?
INFY_Q1_July_22_874 | Any one highlight compared to what you expected at the start of the
INFY_Q1_July_22_875 | year?
INFY_Q1_July_22_876 | Nilanjan Roy
INFY_Q1_July_22_877 | It is a combination of various things and I would not say surprise.
INFY_Q1_July_22_878 | Like I said, it is a fluid situation
INFY_Q1_July_22_879 | and we have to remain agile.
INFY_Q1_July_22_880 | That is more important rather than anything else.
INFY_Q1_July_22_881 | Ritesh Rathod
INFY_Q1_July_22_882 | Coming to pockets of weakness which is pointed out in retail, mortgages, can you give some color
INFY_Q1_July_22_883 | are clients taking a pause in decision making, are the new deals not getting converted or are the
INFY_Q1_July_22_884 | existing deals which have been moving, they are not getting ramped up?
INFY_Q1_July_22_885 | What is the exact sense
INFY_Q1_July_22_886 | on the business over there?
INFY_Q1_July_22_887 | Salil Parekh
INFY_Q1_July_22_888 | There within the areas of that pockets that we described, there we see a slowing.
INFY_Q1_July_22_889 | For example, if
INFY_Q1_July_22_890 | you look at the mortgage situation the volume there in the market meaning the client volume as a
