INFY_Q4_April_22_1 | Moderator
INFY_Q4_April_22_444 | saw a sharp drop for the quarter?
INFY_Q4_April_22_445 | Salil Parekh
INFY_Q4_April_22_446 | On the wage inflation, outside India is definitely higher than what we were seeing last year
INFY_Q4_April_22_447 | and that will become a part of how we factor in our overall compensation increase.
INFY_Q4_April_22_448 | Wage
INFY_Q4_April_22_449 | inflation numbers in most of the western geographies are higher today than they were 12
INFY_Q4_April_22_450 | months ago.
INFY_Q4_April_22_451 | On financial services while in the quarter we saw the QoQ was lower, the overall demand
INFY_Q4_April_22_452 | environment remains very strong for us in this segment.
INFY_Q4_April_22_453 | We see a good pipeline there.
INFY_Q4_April_22_454 | There were significant large deal wins for the year and in the quarter and we remain
INFY_Q4_April_22_455 | confident with the growth in financial services.
INFY_Q4_April_22_456 | In life sciences conversely, we had in the
INFY_Q4_April_22_457 | previous quarter several onetime large deals and that is what made the QoQ look softer.
INFY_Q4_April_22_458 | It
INFY_Q4_April_22_459 | is a smaller unit for us.
INFY_Q4_April_22_460 | So, there is much more volatility in that, but the underlying demand
INFY_Q4_April_22_461 | in life sciences looks to be in good shape.
INFY_Q4_April_22_462 | Moderator
INFY_Q4_April_22_463 | Markets.
INFY_Q4_April_22_464 | Please go ahead.
INFY_Q4_April_22_465 | Keith Bachman
INFY_Q4_April_22_466 | I want to ask a question about what are your assumptions on attrition and utilization, how
INFY_Q4_April_22_467 | should we be thinking about those terms over FY2023 and specifically if you could
INFY_Q4_April_22_468 | correlate what is the impact in terms of your margin guidance that you provided here today
INFY_Q4_April_22_469 | of 21% to 23%?
INFY_Q4_April_22_470 | Nilanjan Roy
INFY_Q4_April_22_471 | I think firstly on the utilization we are still at the higher end at 87%.
INFY_Q4_April_22_472 | We want to bring this
INFY_Q4_April_22_473 | down.
INFY_Q4_April_22_474 | Now having said that, a lot of this will happen through the influx of freshers.
INFY_Q4_April_22_475 | So it is
INFY_Q4_April_22_476 | not a dollar for a dollar in that sense.
INFY_Q4_April_22_477 | The utilization will start impacting by putting in more
INFY_Q4_April_22_478 | freshers who are at a lower cost, but will still have a margin headwind.
INFY_Q4_April_22_479 | But if you looking
INFY_Q4_April_22_480 | for a math behind it there is no straight correlation because it is not one for one in that
INFY_Q4_April_22_481 | sense.
INFY_Q4_April_22_482 | So that is first.
INFY_Q4_April_22_483 | On attrition, yes, we think that this should come down in the following year.
INFY_Q4_April_22_484 | The impact
INFY_Q4_April_22_485 | that we are seeing now – the impact of putting freshers in – not only by us, but by the
INFY_Q4_April_22_486 | entire industry because it was a rotational churn issue across the industry.
INFY_Q4_April_22_487 | As the industry
INFY_Q4_April_22_488 | puts in freshers, there is a new source of supply across the industry as well.
INFY_Q4_April_22_489 | And finally the
INFY_Q4_April_22_490 | intervention which we are doing now as well.
INFY_Q4_April_22_491 | So, that is all factored into our 21% to 23%.
INFY_Q4_April_22_492 | We are also looking at investments, like Salil said, around cloud, around digital
INFY_Q4_April_22_493 | capabilities; and therefore that is also baked into the next year’s guidance.
INFY_Q4_April_22_494 | Keith Bachman
INFY_Q4_April_22_495 | Okay just to clarify and then I will see the floor, does the attrition come down for the
INFY_Q4_April_22_496 | industry or Infosys or both.
INFY_Q4_April_22_497 | Nilanjan Roy
INFY_Q4_April_22_498 | It will be both, I do not think we are in a silo on the ecosystem, we are all interconnected.
INFY_Q4_April_22_499 | My attrition is somebody else lateral and somebody else’s attrition is my lateral and
INFY_Q4_April_22_500 | therefore if the industry has to come out of this it is fundamentally through volume.
INFY_Q4_April_22_501 | Volume
INFY_Q4_April_22_502 | has to be through fresher, there is no other source of volume.
INFY_Q4_April_22_503 | Therefore, as we start
INFY_Q4_April_22_504 | pumping in more freshers send them for training put them into the bench and then get
INFY_Q4_April_22_505 | them into production.
INFY_Q4_April_22_506 | I think that cycle takes time, and you are already seeing the benefits
INFY_Q4_April_22_507 | of this – not only with us but also seeing that with the industry as well.
INFY_Q4_April_22_508 | Moderator
INFY_Q4_April_22_509 | AMC.
INFY_Q4_April_22_510 | Please go ahead.
INFY_Q4_April_22_511 | Sudheer Guntupalli
INFY_Q4_April_22_512 | Good evening gentlemen.
INFY_Q4_April_22_513 | Thanks for giving me the opportunity.
INFY_Q4_April_22_514 | Nilanjan as you made a
INFY_Q4_April_22_515 | comment that pre-pandemic we were at 21.3% margin and our current margin guidance
INFY_Q4_April_22_516 | band is also somewhere around that.
INFY_Q4_April_22_517 | So should we read this margin downgrade as more
INFY_Q4_April_22_518 | of a structural reset in the company’s aspirational profitability going back to pre-COVID
INFY_Q4_April_22_519 | margin levels or should we see this more of a onetime downgrade for FY2023 led by
INFY_Q4_April_22_520 | transient supply side pressures.
INFY_Q4_April_22_521 | Nilanjan Roy
INFY_Q4_April_22_522 | Yes, so as you know, we only give the margin guidance for the year – 21% to 23% and
INFY_Q4_April_22_523 | FY2020 operating margin was 21.3%.
INFY_Q4_April_22_524 | We will see where we end up, but the comfortable
INFY_Q4_April_22_525 | range for FY2023 is 21% to 23% - nothing more than that.
INFY_Q4_April_22_526 | Just talking about the
INFY_Q4_April_22_527 | investments we are going to make- not only on talent.
INFY_Q4_April_22_528 | This is a robust demand
INFY_Q4_April_22_529 | environment and we do not want to lose highly skilled talents.
INFY_Q4_April_22_530 | So, we are rolling out
INFY_Q4_April_22_531 | interventions there.
INFY_Q4_April_22_532 | We are rolling out intervention on the sales side, on the marketing
INFY_Q4_April_22_533 | side, on the digital, cloud.
INFY_Q4_April_22_534 | So, we have multiple interventions and we have seen the
INFY_Q4_April_22_535 | success of that over the last 4 years and this is also in front of you.
INFY_Q4_April_22_536 | That is something
INFY_Q4_April_22_537 | which we have looked at and baked into the margin for next year.
INFY_Q4_April_22_538 | Sudheer Guntupalli
INFY_Q4_April_22_539 | Sure Sir.
INFY_Q4_April_22_540 | An extension of this question, the current exit margin rate in March 2022 and
INFY_Q4_April_22_541 | margin downgrade for FY2023 it gives a bit of a deja vu feeling of the exit margin and
INFY_Q4_April_22_542 | guidance situation exactly 3 years ago in March 2019.
INFY_Q4_April_22_543 | In fact, we were not staring at so
INFY_Q4_April_22_544 | many margin headwinds like we are now barring a bit of an elevated attrition at that time.
INFY_Q4_April_22_545 | So my question is, is it fair to assume that for the next four quarters margin trajectory will
INFY_Q4_April_22_546 | trace somewhat of a similar path like getting FY2020 where the current delta in growth will
INFY_Q4_April_22_547 | likely take care of the delta in margin headwinds or do you see any major divergences in
INFY_Q4_April_22_548 | terms of how the pattern will play out over the next four quarters.
INFY_Q4_April_22_549 | Nilanjan Roy
INFY_Q4_April_22_550 | So, yes like I said on the margin side we know there is going to be a Q1 impact.
INFY_Q4_April_22_551 | We know
INFY_Q4_April_22_552 | there are more longer-term cost optimizations we can resort to.
INFY_Q4_April_22_553 | So, I think it will be
INFY_Q4_April_22_554 | multiple impact of all this.
INFY_Q4_April_22_555 | And of course, growth will always help.
INFY_Q4_April_22_556 | And you've seen that the
INFY_Q4_April_22_557 | impact of growth on our operating leverage also has helped in the past.
INFY_Q4_April_22_558 | So, it's a
INFY_Q4_April_22_559 | combination of all this.
INFY_Q4_April_22_560 | Moderator
INFY_Q4_April_22_561 | ahead.
INFY_Q4_April_22_562 | Divya Nagarajan
INFY_Q4_April_22_563 | Thanks for taking my question and congrats on what has been a great year overall.
INFY_Q4_April_22_564 | Looking forward I think this question has been attempted in different ways by some of the
INFY_Q4_April_22_565 | earlier questions that came through, but if you were to kind of think about your guidance
INFY_Q4_April_22_566 | on revenue for the full year and think about what are the puts and takes in terms of any
INFY_Q4_April_22_567 | delta that you might see on demand, how comfortable do you feel that you have a
INFY_Q4_April_22_568 | cushion?
INFY_Q4_April_22_569 | If I also look at your past track record, you have taken up guidance pretty much
INFY_Q4_April_22_570 | every year consistently multiple times during the year.
INFY_Q4_April_22_571 | Is there enough buffer on both
INFY_Q4_April_22_572 | sides of the equation is my first question.
INFY_Q4_April_22_573 | Salil Parekh
INFY_Q4_April_22_574 | The way we looked at our growth guidance, we really try to take a look at where is the
INFY_Q4_April_22_575 | demand today, what we have done with large deals, what we are seeing across many of
INFY_Q4_April_22_576 | our accounts.
INFY_Q4_April_22_577 | For example, if you see some of the statistics that we share, number of
INFY_Q4_April_22_578 | accounts over $100 mn or $50 mn- they have seen big movements over the last 12, 24,
INFY_Q4_April_22_579 | 36 months.
INFY_Q4_April_22_580 | So we have some view of how that will move in the coming year and then how
INFY_Q4_April_22_581 | we are working on new account acquisitions and focus on that.
INFY_Q4_April_22_582 | Those are the things we
INFY_Q4_April_22_583 | built in, to build the guidance and that is the approach we take every year and in April as
INFY_Q4_April_22_584 | we look ahead and then as the year moves, as we get other information we try to then see
INFY_Q4_April_22_585 | how best to communicate what we are seeing in the demand environment.
INFY_Q4_April_22_586 | It’s the same
INFY_Q4_April_22_587 | approach that we will follow.
INFY_Q4_April_22_588 | So, it is difficult for example to say what does it mean there is
INFY_Q4_April_22_589 | a cushion and not cushion because at this stage what we see is what we are sharing
INFY_Q4_April_22_590 | which is 13% to 15% on the growth and in every quarter with the broad-based connection
INFY_Q4_April_22_591 | we have with clients and interactions across the industry we will continue to share what we
INFY_Q4_April_22_592 | see with respect to the demand environment.
INFY_Q4_April_22_593 | Divya Nagarajan
INFY_Q4_April_22_594 | Got it and on the margin side I think you have spoken repeatedly about investments and
INFY_Q4_April_22_595 | the investments for future growth.
INFY_Q4_April_22_596 | If you were to split your margin you have taken your
INFY_Q4_April_22_597 | guide down roughly by a percent, could you split it into what could be the contribution of
INFY_Q4_April_22_598 | the investments and what is really the contribution of all the other metrics that you have
INFY_Q4_April_22_599 | talked about that are likely to reverse.
INFY_Q4_April_22_600 | Nilanjan Roy
INFY_Q4_April_22_601 | Yes, so like I said, every year we have headwinds on compensation, that is the biggest
INFY_Q4_April_22_602 | one.
INFY_Q4_April_22_603 | We have headwinds this year coming on the travel and the facility side as things
INFY_Q4_April_22_604 | open up.
INFY_Q4_April_22_605 | And then we have the cost optimization program which has been running quite
INFY_Q4_April_22_606 | well across all these years – automation, onsite-offshore, subcon – again which is also
INFY_Q4_April_22_607 | high, and then the investments which we are going to make.
INFY_Q4_April_22_608 | We will start the investments
INFY_Q4_April_22_609 | during the year and this will be on sales side, cloud capabilities, people incentives on
INFY_Q4_April_22_610 | higher skill sets.
INFY_Q4_April_22_611 | So, it is a combination of all this.
INFY_Q4_April_22_612 | We are not really calling out the
INFY_Q4_April_22_613 | separate impact and all of that has been considered into the margin structure.
INFY_Q4_April_22_614 | Divya Nagarajan
INFY_Q4_April_22_615 | Got it.
INFY_Q4_April_22_616 | My last question if I may.
INFY_Q4_April_22_617 | So should I assume that your increased visa cost that you
INFY_Q4_April_22_618 | have had, you have almost had like 1% impact in the quarter, the higher visa application is
INFY_Q4_April_22_619 | to kind of offset some of the subcontracting pressures that you have had now with travel
INFY_Q4_April_22_620 | opening up in the western market.
INFY_Q4_April_22_621 | Nilanjan Roy
INFY_Q4_April_22_622 | Yes so as I mentioned, the impact in the margin walk was a combination of visa, third-
INFY_Q4_April_22_623 | party cost and another one off which we enjoyed in quarter three, that was altogether 1%
INFY_Q4_April_22_624 | in margin walk which I took you through.
INFY_Q4_April_22_625 | Divya Nagarajan
INFY_Q4_April_22_626 | Got it thanks I will come for follow up if there is any time and wish you all the best for the
INFY_Q4_April_22_627 | year.
INFY_Q4_April_22_628 | Moderator
INFY_Q4_April_22_629 | ahead.
INFY_Q4_April_22_630 | Pankaj Kapoor
INFY_Q4_April_22_631 | Hi!
INFY_Q4_April_22_632 | Thanks for the opportunity.
INFY_Q4_April_22_633 | The question again is on margins and the investment that
INFY_Q4_April_22_634 | you spoke of.
INFY_Q4_April_22_635 | I was just wondering are these similar to the investment that you had done
INFY_Q4_April_22_636 | in 2018-2019, so more of one time kind of an investment or these are more regular
INFY_Q4_April_22_637 | investments that anyway you would keep doing in the business.
INFY_Q4_April_22_638 | Salil Parekh
INFY_Q4_April_22_639 | I think the way we are looking at it is, we put in place that strategy a few years ago.
INFY_Q4_April_22_640 | We
INFY_Q4_April_22_641 | built out deep capability across multiple areas – that was what we did in the first sort of 6
INFY_Q4_April_22_642 | months, a year or so.
INFY_Q4_April_22_643 | We are now seeing over the last 4 years a good impact of that
INFY_Q4_April_22_644 | approach.
INFY_Q4_April_22_645 | We see a tremendous demand environment which we see across cloud, areas
INFY_Q4_April_22_646 | of digital, automation, and some of the new digital tech companies.
INFY_Q4_April_22_647 | We want to take that
INFY_Q4_April_22_648 | and build the capability deeper in those areas.
INFY_Q4_April_22_649 | We consider that now one time approach in
INFY_Q4_April_22_650 | the next few quarters to get it mobilized.
INFY_Q4_April_22_651 | It is not something which is going to be a
INFY_Q4_April_22_652 | continuous new activity for us and then we want to again like we did last time a shift into
INFY_Q4_April_22_653 | building capability from the operating business itself.
INFY_Q4_April_22_654 | But since we see an inflection point
INFY_Q4_April_22_655 | in what we see as the opportunity set, we want to make sure we take advantage of that,
INFY_Q4_April_22_656 | keep our leading position with market share growth that we have had over the past 3-4
INFY_Q4_April_22_657 | years and try to build on that for the coming 3 to 5 years.
INFY_Q4_April_22_658 | Pankaj Kapoor
INFY_Q4_April_22_659 | Understand that, and the other question also was on your guidance on the revenue side.
INFY_Q4_April_22_660 | What kind of a outlook you are building in on the macro concerns around what is
INFY_Q4_April_22_661 | happening in the Eastern Europe or even the larger macro worries around the inflation in
INFY_Q4_April_22_662 | your end markets.
INFY_Q4_April_22_663 | Are you taking any impact of that, maybe in the second half of the year,
INFY_Q4_April_22_664 | or the guidance is more on an ‘as is’ basis and in case if there is any incremental
INFY_Q4_April_22_665 | deterioration in the macros that would be probably incremental to whatever the guidance
INFY_Q4_April_22_666 | that we have given.
INFY_Q4_April_22_667 | Salil Parekh
INFY_Q4_April_22_668 | Today what we see is the point that you mentioned are in the macro environment, but as
INFY_Q4_April_22_669 | we look at our demand environment we do not see any impact to it.
INFY_Q4_April_22_670 | And we do not have a
INFY_Q4_April_22_671 | clear view of how to make an estimate for Q3, Q4 at what level and so on.
INFY_Q4_April_22_672 | Based on that
INFY_Q4_April_22_673 | we have built the guidance today and we will evolve it as we go through.
INFY_Q4_April_22_674 | We feel
INFY_Q4_April_22_675 | comfortable given what we are seeing in the environment that this is the sort of growth
INFY_Q4_April_22_676 | that we will see in the range of 13% to 15%.
INFY_Q4_April_22_677 | We do not see really an impact of those
INFY_Q4_April_22_678 | factors in the demand environment today.
INFY_Q4_April_22_679 | Moderator
INFY_Q4_April_22_680 | go ahead.
INFY_Q4_April_22_681 | Vibhor Singhal
INFY_Q4_April_22_682 | Salil couple of questions again on the European part.
INFY_Q4_April_22_683 | My first question is that as you have
INFY_Q4_April_22_684 | already mentioned that our exposure to Russia and the other geographies as of now is
INFY_Q4_April_22_685 | limited, just wanted to basically understand, as we work for a lot of multinational clients
INFY_Q4_April_22_686 | who have operations across countries and in parts of Russia and Europe as well.
INFY_Q4_April_22_687 | So, what
INFY_Q4_April_22_688 | are the conversations with those clients like.
INFY_Q4_April_22_689 | Is there a possibility of them maybe curtailing
INFY_Q4_April_22_690 | down this to some extent or is there some negativity in the conversation that is creeping
INFY_Q4_April_22_691 | in.
INFY_Q4_April_22_692 | Second, a more longer-term question on the same geography is that, over the last 2 to 3
INFY_Q4_April_22_693 | years, in fact more than that last 4-5 years we have seen eastern Europe evolve as a
INFY_Q4_April_22_694 | destination for hiring for a lot of companies maybe in data analytics and many other
INFY_Q4_April_22_695 | domains.
INFY_Q4_April_22_696 | Do you believe that the current war situation has pushed that back by maybe a
INFY_Q4_April_22_697 | few quarters or years or do you think it is a temporary situation and once it resolves, the
INFY_Q4_April_22_698 | earlier attractiveness of eastern Europe vis-à-vis hiring for the specific domains will still
INFY_Q4_April_22_699 | come back as it was before?
INFY_Q4_April_22_700 | Salil Parekh
INFY_Q4_April_22_701 | So, I have understood first was is the situation in Ukraine impacting any demand in
INFY_Q4_April_22_702 | European clients if that is the question - currently our conversations and discussions with
INFY_Q4_April_22_703 | clients in Europe do not see any impact on the demand environment for us because of this
INFY_Q4_April_22_704 | situation.
INFY_Q4_April_22_705 | Of course as we go through the next few quarters and so on we will see how it
INFY_Q4_April_22_706 | plays out depending on the duration and so on.
INFY_Q4_April_22_707 | On the second one, the recruitment situation, we have centers for example in countries in
INFY_Q4_April_22_708 | Eastern Europe and we see that growing quite well for us.
INFY_Q4_April_22_709 | Today we have no center in
INFY_Q4_April_22_710 | Ukraine but the other areas we have been expanding in and that has developed quite well.
INFY_Q4_April_22_711 | We do not see an impact today – there might obviously be impact with centers in Ukraine.
INFY_Q4_April_22_712 | So our centers which are in other geographies in Eastern Europe, we are seeing good
INFY_Q4_April_22_713 | growth in those centers.
INFY_Q4_April_22_714 | Vibhor Singhal
INFY_Q4_April_22_715 | So if I were to specifically ask something like Hungary, Poland, Austria they would
INFY_Q4_April_22_716 | continue to remain attractive destinations for us to hire and do businesses there.
INFY_Q4_April_22_717 | Salil Parekh
INFY_Q4_April_22_718 | Poland and Romania are the locations where we have centers and we are actively
INFY_Q4_April_22_719 | recruiting and scaling up in those locations.
INFY_Q4_April_22_720 | Vibhor Singhal
INFY_Q4_April_22_721 | Got it, thanks for taking my questions and wish you all the best.
INFY_Q4_April_22_722 | Moderator
INFY_Q4_April_22_723 | ahead.
INFY_Q4_April_22_724 | Ravi Menon
INFY_Q4_April_22_725 | Thank you for the opportunity.
INFY_Q4_April_22_726 | Just want to clarify on this pass through cost, should we not
INFY_Q4_April_22_727 | think of this as like a margin tailwind whenever this pass through cost reduces because I
INFY_Q4_April_22_728 | assume that your customers have the option let us say if it is the ServiceNow software,
INFY_Q4_April_22_729 | they can procure it themselves.
INFY_Q4_April_22_730 | So, I would assume that these are done at zero markup
INFY_Q4_April_22_731 | would that be correct?
INFY_Q4_April_22_732 | Nilanjan Roy
INFY_Q4_April_22_733 | Yes, these are long-term contracts and I think the value proposition which we have is how
INFY_Q4_April_22_734 | we bundle services with these software.
INFY_Q4_April_22_735 | So, it is just not a one-off sale.
INFY_Q4_April_22_736 | I think that the
INFY_Q4_April_22_737 | proposition with us, is that we can integrate this into the cloud into the vertical stacks etc.
INFY_Q4_April_22_738 | and bundle that with the services which we have.
INFY_Q4_April_22_739 | So that is the way we look at it.
INFY_Q4_April_22_740 | Ravi Menon
INFY_Q4_April_22_741 | But my question was what should we assume as a margin for this, should we assume that
INFY_Q4_April_22_742 | this is a margin tailwind, should we think of this and adjust for the margins accordingly.
INFY_Q4_April_22_743 | I
INFY_Q4_April_22_744 | assume that this is a zero margin because the client can actually procure that and just ask
INFY_Q4_April_22_745 | you to implement it.
INFY_Q4_April_22_746 | Nilanjan Roy
INFY_Q4_April_22_747 | But as you see the overall market for software as a service is growing dramatically and
INFY_Q4_April_22_748 | that is something where we can come in and add this value.
INFY_Q4_April_22_749 | So, it is just not one client
INFY_Q4_April_22_750 | with one software there are multiple clients, there are horizontal softwares, various kinds
INFY_Q4_April_22_751 | as well.
INFY_Q4_April_22_752 | So, I think this is a proposition which we have which is quite unique for us so you
INFY_Q4_April_22_753 | just cannot see it as a one-off intervention with one client.
INFY_Q4_April_22_754 | Ravi Menon
INFY_Q4_April_22_755 | So are you saying these are software that you own, this is your intellectual property, I
INFY_Q4_April_22_756 | thought these are third party items bought for service delivery.
INFY_Q4_April_22_757 | Nilanjan Roy
INFY_Q4_April_22_758 | Yes like I said these are software which are of course owned by the SaaS vendors but the
INFY_Q4_April_22_759 | bundling of services which we do with it, that is the value proposition we give to our client.
INFY_Q4_April_22_760 | Ravi Menon
INFY_Q4_April_22_761 | Second question is, if you look at the incremental revenue this quarter we added about
INFY_Q4_April_22_762 | $30 mn, last quarter we added north of $50 mn, if I remember correctly and this quarter
INFY_Q4_April_22_763 | the increase in pass through cost is $40 mn.
INFY_Q4_April_22_764 | So, if I just for that, your services revenue
INFY_Q4_April_22_765 | has dropped in a surprisingly strong demand environment.
INFY_Q4_April_22_766 | So how should we think about
INFY_Q4_April_22_767 | it?
INFY_Q4_April_22_768 | I mean is it that certain projects have come to an end and this is across the board, I
INFY_Q4_April_22_769 | mean we have seen decline in Life sciences both in North America and Europe.
INFY_Q4_April_22_770 | But it is
INFY_Q4_April_22_771 | not that this one vertical that dragged you down or a particular client, it seems to be the
INFY_Q4_April_22_772 | incremental revenue is soft across the board so how should we think about that.
INFY_Q4_April_22_773 | Nilanjan Roy
INFY_Q4_April_22_774 | Yes so firstly, volume growth sequentially has been very strong first point.
INFY_Q4_April_22_775 | Second point if
INFY_Q4_April_22_776 | you see our YoY, it is 20.6% versus 19.7% for the year.
INFY_Q4_April_22_777 | Our number for exit rate is higher
INFY_Q4_April_22_778 | than the average for the year.
INFY_Q4_April_22_779 | Number two our volumes growth sequentially is higher, we
INFY_Q4_April_22_780 | have added 22,000 people this quarter and I am assuming many of these are being hired
INFY_Q4_April_22_781 | to look for future demand and get them into production so that is the third signal we have
INFY_Q4_April_22_782 | got.
INFY_Q4_April_22_783 | Fourth if you see from a revenue perspective versus the volume increase we have
INFY_Q4_April_22_784 | seen.
INFY_Q4_April_22_785 | We have talked about the seasonality of quarter four, and if you look back over the
INFY_Q4_April_22_786 | last 5-6 years we have always had a seasonality of revenue versus volume in quarter four
INFY_Q4_April_22_787 | because of the working day impact.
INFY_Q4_April_22_788 | We have seen some COVID leave in the initial part of
INFY_Q4_April_22_789 | January impacting us.
INFY_Q4_April_22_790 | We had this one off we have just talked about the commercial
INFY_Q4_April_22_791 | contract for one client and of course there are some other puts and takes.
INFY_Q4_April_22_792 | So I do not
INFY_Q4_April_22_793 | think you can just see quarter four in isolation.
INFY_Q4_April_22_794 | We would not have given a guidance of
INFY_Q4_April_22_795 | 13% to 15% - this is probably the highest guidance we have given at the start of the year
INFY_Q4_April_22_796 | in the last 10 years at least.
INFY_Q4_April_22_797 | So I think all the demand indicators and landmarks are
INFY_Q4_April_22_798 | looking very good.
INFY_Q4_April_22_799 | Ravi Menon
INFY_Q4_April_22_800 | One last question on the utilization.
INFY_Q4_April_22_801 | You are talking about cooling it down a little.
INFY_Q4_April_22_802 | What
INFY_Q4_April_22_803 | would be a good range that we should think about, would it come down to about 85% or
INFY_Q4_April_22_804 | so, would that be sufficient or should we think even lower.
INFY_Q4_April_22_805 | Nilanjan Roy
INFY_Q4_April_22_806 | Yes, so 85% is the number – it may go up or down in the quarter but that would be
INFY_Q4_April_22_807 | somewhere where we would be – more or less in the comfort range as well.
INFY_Q4_April_22_808 | Moderator
INFY_Q4_April_22_809 | Please go ahead.
INFY_Q4_April_22_810 | Jamie Friedman
INFY_Q4_April_22_811 | Nilanjan, I believe that you mentioned in your prepared remarks that you are anticipating
INFY_Q4_April_22_812 | that the subcontractor costs are plateauing.
INFY_Q4_April_22_813 | I was just wondering why you are concluding
INFY_Q4_April_22_814 | that, is that Visa related or is there something else we should be aware of.
INFY_Q4_April_22_815 | Nilanjan Roy
INFY_Q4_April_22_816 | So, our subcon costs are pretty much plateaued at around 11.1% in this quarter as a
INFY_Q4_April_22_817 | percentage of revenue, but from an exit headcount perspective it has actually come down.
INFY_Q4_April_22_818 | And the reason for this whole ramp up of this subcons is our recruitment engine was a bit
INFY_Q4_April_22_819 | behind.
INFY_Q4_April_22_820 | We were hiring 11,000, 12,000 people each quarter and the balance demand was
INFY_Q4_April_22_821 | being fulfilled by subcons.
INFY_Q4_April_22_822 | With us now getting into this mode of hiring freshers, we hired
INFY_Q4_April_22_823 | 22,000 people this quarter which is close to about 7% of the exit headcount.
INFY_Q4_April_22_824 | And as we
INFY_Q4_April_22_825 | look ahead we will continue to push on the pedal in terms of recruitment and replace many
INFY_Q4_April_22_826 | of the subcons either through a replacement system or what we call a program of ‘subcon
INFY_Q4_April_22_827 | to hires’ in which we offer them a full time employment within the company.
INFY_Q4_April_22_828 | So, we have
INFY_Q4_April_22_829 | been doing that.
INFY_Q4_April_22_830 | We have been at the lowest of the industry in 2019-2020 in terms of
INFY_Q4_April_22_831 | subcon.
INFY_Q4_April_22_832 | So, we know where we have to get at.
INFY_Q4_April_22_833 | It may take us some time, a few quarters,
INFY_Q4_April_22_834 | but we know that's the margin lever we can press on.
INFY_Q4_April_22_835 | Jamie Friedman
INFY_Q4_April_22_836 | Thank you and then I believe Nilanjan you also had quantified the client contract provision,
INFY_Q4_April_22_837 | could you repeat the percentage impact if you stated it.
INFY_Q4_April_22_838 | Nilanjan Roy
INFY_Q4_April_22_839 | So it is less than a percentage and we think over a period of time this should come back.
INFY_Q4_April_22_840 | Jamie Friedman
INFY_Q4_April_22_841 | Got it, thank you I will get back in the queue.
INFY_Q4_April_22_842 | Moderator
INFY_Q4_April_22_843 | go ahead.
INFY_Q4_April_22_844 | Kumar Rakesh
INFY_Q4_April_22_845 | Good evening, thank you for taking my question.
INFY_Q4_April_22_846 | My first question was more around the
INFY_Q4_April_22_847 | margin and the guidance which we have reduced a bit.
INFY_Q4_April_22_848 | So is this a reflection of some of
INFY_Q4_April_22_849 | the transient impacts which we are seeing especially about some of the things which you
INFY_Q4_April_22_850 | talked about supply side constraint and the investment which we are making or is there a
INFY_Q4_April_22_851 | structural change in some of the cost structure of the deals which we are making.
INFY_Q4_April_22_852 | So, as
INFY_Q4_April_22_853 | we have strong growth in some of the additional cost which comes along with that through
INFY_Q4_April_22_854 | third party and other things are essentially pushing our margin down?
INFY_Q4_April_22_855 | Nilanjan Roy
INFY_Q4_April_22_856 | No, so the last part is I think quite clear, if you have seen actually our large deal strategy
INFY_Q4_April_22_857 | which we announced in the beginning of FY2019, we were then doing about $3 bn large
INFY_Q4_April_22_858 | deal.
INFY_Q4_April_22_859 | So we went from $3 bn to $6 bn to $9 bn to $14 bn, so while large deals actually
INFY_Q4_April_22_860 | went up even our margins went up.
INFY_Q4_April_22_861 | So some of that impact which people fear, when we
INFY_Q4_April_22_862 | go into large deals in the initial part of the cycle, of course headwinds are there because
INFY_Q4_April_22_863 | clients want cost savings upfront.
INFY_Q4_April_22_864 | But we are clear about the deal tenure and how do we
INFY_Q4_April_22_865 | price the deal so that over a period of time we are able to take out costs from our various
INFY_Q4_April_22_866 | levers which we have and come closer to the portfolio margin.
INFY_Q4_April_22_867 | So that is something we
INFY_Q4_April_22_868 | have been doing for the last 3, 4, 5 years, 10 years in this industry.
INFY_Q4_April_22_869 | I think the impact we
INFY_Q4_April_22_870 | are talking about is much more about the investments we want to make around what we
INFY_Q4_April_22_871 | have seen in the past, the success of what we have done, and we think with this robust
INFY_Q4_April_22_872 | demand environment these are new capabilities we should invest in as we progress.
INFY_Q4_April_22_873 | And
INFY_Q4_April_22_874 | the usual headwinds which we talked about, the bigger differentiation is the pandemic cost
INFY_Q4_April_22_875 | normalizing and I think you all have the numbers in terms of travel, utilization, onsite-
INFY_Q4_April_22_876 | offshore, subcon.
INFY_Q4_April_22_877 | So, some of those you can start triangulating what is going to come
INFY_Q4_April_22_878 | back on return to normal.
INFY_Q4_April_22_879 | Kumar Rakesh
INFY_Q4_April_22_880 | Got it thanks for that.
INFY_Q4_April_22_881 | Our large deal wins which we report have been steady between $2,
INFY_Q4_April_22_882 | $2.5 bn for the last few quarters.
INFY_Q4_April_22_883 | To understand a lot of the deal activity is also happening
INFY_Q4_April_22_884 | in the smaller size which is not getting reflected here.
INFY_Q4_April_22_885 | So would you give sense on the
INFY_Q4_April_22_886 | overall deal size how that being trending or would you consider sharing that data on an
INFY_Q4_April_22_887 | ongoing basis?
INFY_Q4_April_22_888 | Salil Parekh
INFY_Q4_April_22_889 | I think at this stage we are not sharing that data outside.
INFY_Q4_April_22_890 | Our focus was to share some of
INFY_Q4_April_22_891 | the areas which we had made sort of a change a few years ago for example the digital
INFY_Q4_April_22_892 | revenue percentage and the large deal value.
INFY_Q4_April_22_893 | What you mentioned of course is accurate,
