index,sentence,neg,neu,pos,compound
394,Salil Parekh,0.0,1.0,0.0,0.0
395,On BASE there are multiple things.,0.0,1.0,0.0,0.0
396,This is a business which is very high end in the life sciences,0.0,1.0,0.0,0.0
397,area.,0.0,1.0,0.0,0.0
398,When we launched our strategy a few weeks ago just at the start of the quarter we had,0.0,0.919,0.081,0.128
399,shared also a new focus or an expanded focus on Europe.,0.0,0.806,0.194,0.34
400,Denmark for us is a very strategic,0.0,1.0,0.0,0.0
401,"market, the whole Scandinavian market is a very strategic market for us.",0.0,1.0,0.0,0.0
402,So that is the second,0.0,1.0,0.0,0.0
403,area that it benefits us.,0.0,0.606,0.394,0.3818
404,We also see clients are using the capabilities of BASE as a starting point,0.0,1.0,0.0,0.0
405,"and then that leads to large technology transformation, digital transformation and that helps us",0.0,0.833,0.167,0.3818
406,overall in terms of scaling up that segment.,0.0,1.0,0.0,0.0
407,That is a segment which we feel is a strong segment,0.0,0.752,0.248,0.5106
408,for the future and where in our view underweight in percentage terms.,0.0,1.0,0.0,0.0
409,So we want to enhance that,0.0,0.76,0.24,0.1477
410,with these existing capabilities.,0.0,1.0,0.0,0.0
411,Kumar Rakesh,0.0,1.0,0.0,0.0
412,Got it thanks a lot for that Salil.,0.0,0.707,0.293,0.4404
413,Moderator,0.0,1.0,0.0,0.0
414,Keith Bachman,0.0,1.0,0.0,0.0
415,Thank you very much.,0.0,0.545,0.455,0.3612
416,My first question is I wanted to get your views on how you think wage,0.0,1.0,0.0,0.0
417,inflation will impact the balance of the year.,0.0,1.0,0.0,0.0
418,And what are the tensions on that to your margin,0.231,0.769,0.0,-0.4019
419,model?,0.0,1.0,0.0,0.0
420,"So you mentioned that attrition has in fact moved lower, do you think attrition continues to",0.128,0.872,0.0,-0.296
421,"move lower and how do you think wage inflation will unfold over the next about three, four quarters",0.115,0.885,0.0,-0.296
422,and be a force in the gross margin equation and then will follow up?,0.193,0.807,0.0,-0.4767
423,Nilanjan Roy,0.0,1.0,0.0,0.0
424,I think like we started last year we were very clear that we have to be competitive in the market.,0.0,0.706,0.294,0.7264
425,"So, we did the first hike in January of 2021 then we did the next hike in July of 2021 then we did a",0.0,1.0,0.0,0.0
426,follow-up on our talent in September of 2021.,0.0,0.714,0.286,0.4215
427,"In a way, we have not waited one year we have",0.0,1.0,0.0,0.0
428,actually gone ahead and done our majority of our wage hike from 1st of April this year.,0.0,1.0,0.0,0.0
429,Increase,0.0,0.0,1.0,0.3182
430,for middle to higher level to senior force will happen in July but not the same margin impact of,0.0,1.0,0.0,0.0
431,quarter one which was very broad based.,0.0,1.0,0.0,0.0
432,"Other than that, I think these are quite competitive and of course if you see in the mix, we also get",0.0,0.909,0.091,0.2484
433,a lot of laterals where there is a hidden cost of hiring because they come at stretches.,0.0,1.0,0.0,0.0
434,"So in a way,",0.0,1.0,0.0,0.0
435,your overall weighted average compensation in any case is going up across.,0.0,1.0,0.0,0.0
436,I think overall this is a,0.0,1.0,0.0,0.0
437,very competitive hike.,0.0,0.501,0.499,0.2484
438,In India it is more like high single digits and in overseas geos because of,0.0,0.834,0.166,0.4201
439,high wage inflation across we have given very competitive hikes.,0.0,0.819,0.181,0.2484
440,This is something which we have,0.0,1.0,0.0,0.0
441,not done before.,0.0,1.0,0.0,0.0
442,So these are very much higher than what we did in the past.,0.0,1.0,0.0,0.0
443,But we think this is,0.0,1.0,0.0,0.0
444,something which is going to stand up in good stead in terms of attrition and we have seen three,0.0,0.861,0.139,0.4404
445,quarters of the attrition benefits and expect it to continue.,0.0,0.776,0.224,0.3818
446,Keith Bachman,0.0,1.0,0.0,0.0
447,We cover a number of software companies and software companies have started to say they are,0.0,0.92,0.08,0.0772
448,seeing pockets of weakness with demand elongation on sales cycles.,0.35,0.65,0.0,-0.5106
449,It does not sound like we,0.297,0.703,0.0,-0.2755
450,made one very specific industry comment but it does not sound like you are seeing the same any,0.136,0.864,0.0,-0.395
451,"kind of iteration on the demand side particularly on the negative side, but if you could just clarify,",0.189,0.811,0.0,-0.4082
452,"are you seeing any elongation on the new business front, yes or no, and if the macro does weaken",0.124,0.756,0.12,-0.0258
453,will that in fact help your wage situation and that is it from me.,0.0,0.828,0.172,0.4019
454,Thank you.,0.0,0.286,0.714,0.3612
455,Salil Parekh,0.0,1.0,0.0,0.0
456,Thanks for that.,0.0,0.408,0.592,0.4404
457,"A couple of points that you raised, I think what we see on the demand, the",0.091,0.909,0.0,-0.128
458,pipeline that we have today for our large deals is larger than what we had three or six months ago.,0.0,1.0,0.0,0.0
459,"Having said that, we of course recognize what is going on in the global environment and we",0.0,1.0,0.0,0.0
460,mentioned a couple of areas.,0.0,1.0,0.0,0.0
461,"Nilanjan talked within retail, he also mentioned within Financial",0.0,1.0,0.0,0.0
462,Services - mortgages.,0.0,1.0,0.0,0.0
463,So we see pockets where we see some impact.,0.0,1.0,0.0,0.0
464,On the overall deal discussions we see a little bit where it is slowing in the decision making;,0.0,1.0,0.0,0.0
465,"however, the pipeline remains strong for us today.",0.0,0.68,0.32,0.5106
466,"We have also get two types of deals, one is",0.0,1.0,0.0,0.0
467,deals which are on digital transformation or cloud which are growth orientated for clients driving to,0.0,0.852,0.148,0.3818
468,"what they want to do with their customers in their supply chain, how they want to make an impact.",0.0,0.867,0.133,0.1531
469,"The second is on cost, we have a very strong play on cost and efficiency through our automation",0.0,0.631,0.369,0.8304
470,"work, through our artificial intelligence work where we can really impact the cost base in the tech",0.0,0.838,0.162,0.4767
471,landscape of our clients.,0.0,1.0,0.0,0.0
472,So those are areas which we are already very active within this,0.0,0.786,0.214,0.4576
473,environment and given our positioning we feel good that those will start to come into play as and,0.0,0.751,0.249,0.6486
474,when the environment changes.,0.0,1.0,0.0,0.0
475,But today this is how we are seeing the demand situation.,0.149,0.851,0.0,-0.1901
476,Now your other question was will that have a change on the wage if the macro evolving.,0.0,1.0,0.0,0.0
477,We do not,0.0,1.0,0.0,0.0
478,have a clear view on where that will go because it is a function of how the macro evolves and what,0.0,0.885,0.115,0.3818
479,happens.,0.0,1.0,0.0,0.0
480,"Of course, we are seeing attrition starting to come off a little bit and that will clearly have",0.0,0.863,0.137,0.4019
481,a positive impact for us with respect to compensation.,0.0,0.511,0.489,0.7717
482,"So the timeline is not clear, it depends on",0.214,0.786,0.0,-0.2924
483,how the macro evolves.,0.0,1.0,0.0,0.0
484,Keith Bachman,0.0,1.0,0.0,0.0
485,Okay great many thanks.,0.0,0.101,0.899,0.836
486,Moderator,0.0,1.0,0.0,0.0
487,ahead.,0.0,1.0,0.0,0.0
488,Nitin Padmanabhan,0.0,1.0,0.0,0.0
489,Good morning.,0.0,0.256,0.744,0.4404
490,Thanks for the opportunity.,0.0,0.26,0.74,0.6908
491,I had two questions.,0.0,1.0,0.0,0.0
492,"One, is from a margin perspective,",0.0,1.0,0.0,0.0
493,whatever we saw as one offs in the previous quarter which included visa and these contract,0.0,1.0,0.0,0.0
494,provisions - both of them have been sort of offset in this quarter is that a fair understanding?,0.0,0.881,0.119,0.3182
495,The,0.0,1.0,0.0,0.0
496,second is in terms of salary increases is it only for the associate level this quarter and if so then,0.0,1.0,0.0,0.0
497,"the question is that we have 145,000 associates JL3 and below and 130,000 people in the mid",0.0,1.0,0.0,0.0
498,level and general understanding is mid level obviously as a percentage of the employee cost it,0.0,1.0,0.0,0.0
499,should be higher so the thought process was about should not your margin impact be even higher,0.0,1.0,0.0,0.0
500,next quarter - if you could just help with that thought process that will be very helpful?,0.0,0.721,0.279,0.6997
501,Those are,0.0,1.0,0.0,0.0
502,two questions.,0.0,1.0,0.0,0.0
503,Thank you.,0.0,0.286,0.714,0.3612
504,Nilanjan Roy,0.0,1.0,0.0,0.0
505,"As I said in the margin walk, we had a benefit of 50 bps in RPP which is a combination of clients",0.0,0.875,0.125,0.4588
506,contractual provisions reversals partially offset by the discounts.,0.0,1.0,0.0,0.0
507,So we have seen a benefit there.,0.0,0.667,0.333,0.4588
508,"There is no way we said that has it been eroded, we have caught the benefit of client contractual",0.099,0.766,0.135,0.2023
509,provisions clearly.,0.0,0.27,0.73,0.4019
510,"The other one on visa, travel - I think they largely offset each other.",0.0,1.0,0.0,0.0
511,"On the outlook on wages, we",0.0,1.0,0.0,0.0
512,"have done it for most of our employees, it is up to mid level.",0.0,1.0,0.0,0.0
513,For more of the senior levels is what,0.0,1.0,0.0,0.0
514,we are going to roll out in July and that impact would be far less than 1.6% which we have done,0.0,1.0,0.0,0.0
515,which is a much more broad based for us.,0.0,1.0,0.0,0.0
516,Nitin Padmanabhan,0.0,1.0,0.0,0.0
517,Both associates and mid level happen this quarter itself.,0.0,1.0,0.0,0.0
518,It is not only associate.,0.0,1.0,0.0,0.0
519,Nilanjan Roy,0.0,1.0,0.0,0.0
520,"Yes, associates and mid level, correct.",0.0,0.649,0.351,0.4019
521,Nitin Padmanabhan,0.0,1.0,0.0,0.0
522,Correct that is very helpful.,0.0,0.564,0.436,0.4754
523,Thank you so much.,0.0,0.545,0.455,0.3612
524,Moderator,0.0,1.0,0.0,0.0
525,go ahead.,0.0,1.0,0.0,0.0
526,Bryan Bergin,0.0,1.0,0.0,0.0
527,Thanks for taking the question.,0.0,0.58,0.42,0.4404
528,I wanted to just dig on the commentary around pockets of,0.0,1.0,0.0,0.0
529,weakness.,1.0,0.0,0.0,-0.4215
530,"So I heard you mentioned mortgages, mentioned subcomponent of retail.",0.0,1.0,0.0,0.0
531,Can you just,0.0,1.0,0.0,0.0
532,give us a sense and quantify what mix of your business is actually seeing some slowing decision,0.0,1.0,0.0,0.0
533,"making is it 5%, is it 10%, is it less and even does this help frame or quantify areas that are seeing",0.0,0.87,0.13,0.481
534,pockets of weakness?,0.583,0.417,0.0,-0.4215
535,Salil Parekh,0.0,1.0,0.0,0.0
536,Thanks for your question.,0.0,0.508,0.492,0.4404
537,This is Salil.,0.0,1.0,0.0,0.0
538,We do not quantify typically what part of Financial Services,0.0,1.0,0.0,0.0
539,is mortgages or the other areas which are impacted.,0.0,1.0,0.0,0.0
540,"We are now seeing pockets, this is not across",0.0,1.0,0.0,0.0
541,our whole business.,0.0,1.0,0.0,0.0
542,And the way I would look at it is with all of that given our pipeline we have,0.0,1.0,0.0,0.0
543,increased our revenue guidance.,0.0,0.588,0.412,0.2732
544,So the majority of our business is still seeing good demand.,0.112,0.672,0.216,0.34
545,It is,0.0,1.0,0.0,0.0
546,"really pockets without quantifying, that is how I would give a context to it.",0.0,1.0,0.0,0.0
547,Bryan Bergin,0.0,1.0,0.0,0.0
548,Okay and then just a follow-up on margin.,0.0,0.787,0.213,0.2263
549,You gave sequential changes can you give us what the,0.0,1.0,0.0,0.0
550,year-on-year changes in operating margin with the different categories?,0.0,1.0,0.0,0.0
551,Nilanjan Roy,0.0,1.0,0.0,0.0
552,So largely we know it was the comp related hike that is near only about 370 basis points that was,0.0,1.0,0.0,0.0
553,the biggest one and there were some rupee benefits offset by both cross currency as well and,0.0,0.761,0.239,0.5719
554,"then we got some benefits of cost optimization, we got some hits on lower utilization.",0.113,0.619,0.268,0.4588
555,So these are,0.0,1.0,0.0,0.0
556,the broad things but the biggest one was the comp which was about 370 basis points.,0.0,1.0,0.0,0.0
557,Bryan Bergin,0.0,1.0,0.0,0.0
558,Alright thank you.,0.0,0.182,0.818,0.5423
559,Moderator,0.0,1.0,0.0,0.0
560,Management.,0.0,1.0,0.0,0.0
561,Please go ahead.,0.0,0.465,0.535,0.3182
562,Sudheer Guntupalli,0.0,1.0,0.0,0.0
563,Good morning gentlemen.,0.0,0.408,0.592,0.4404
564,Thanks for giving me this opportunity.,0.0,0.27,0.73,0.7964
565,I have just one question on,0.0,1.0,0.0,0.0
566,margins.,0.0,1.0,0.0,0.0
567,Ideally the strong growth at the headline level should have translated into some operating,0.0,0.558,0.442,0.8271
568,"leverage, but that does not seem to be happening and Nilanjan we seem to be of the view, we will",0.0,1.0,0.0,0.0
569,chase growth for now and focus on margin optimization at a later date.,0.0,0.679,0.321,0.6369
570,What is the risk to that,0.296,0.704,0.0,-0.2732
571,hypothesis because this growth margin paradox seem to be a mere reflection of what is happening,0.076,0.761,0.163,0.3818
572,"in U.S. and U.K. now a very tight job market, very high nominal growth, but very little benefit",0.0,0.73,0.27,0.7105
573,trickling down to the bottomline level.,0.194,0.806,0.0,-0.0516
574,So sooner or later this nominal growth rates may cool off and,0.0,0.671,0.329,0.5994
575,onsite job markets and some supply costs may auto recalibrate.,0.0,1.0,0.0,0.0
576,But back in India job market may,0.0,1.0,0.0,0.0
577,not be as much of a free market as it is in U.K. and U.S. there may be some sticky elements both,0.0,0.864,0.136,0.5106
578,at headcount and wage level translating into negative operating leverage as demand moderates.,0.321,0.679,0.0,-0.6369
579,So what is the risk that margins will remain structurally lower than even the pre-COVID levels,0.235,0.765,0.0,-0.5106
580,going ahead because demand tends to be more cyclical while some of these supply costs tend to,0.086,0.914,0.0,-0.128
581,be more sticky?,0.0,1.0,0.0,0.0
582,Nilanjan Roy,0.0,1.0,0.0,0.0
583,There are a couple of things.,0.0,1.0,0.0,0.0
584,See one is that many of these cost increases cannot be passed on,0.0,1.0,0.0,0.0
585,the client on day one.,0.0,1.0,0.0,0.0
586,If I have to give a wage hike on all my existing base they will come up for,0.0,1.0,0.0,0.0
587,renewals that is the time when you have a wage discussion.,0.0,1.0,0.0,0.0
588,"When you are doing new deal,",0.0,1.0,0.0,0.0
589,automatically we will build it and the industry in a way will build it into their wage profile.,0.0,1.0,0.0,0.0
590,So these,0.0,1.0,0.0,0.0
591,"things will automatically flow back, there is no free lunch for anybody.",0.197,0.803,0.0,-0.4023
592,So that is one thing which,0.0,1.0,0.0,0.0
593,"will happen over a period of time, but that is more of a generic point I am making.",0.0,1.0,0.0,0.0
594,But in terms of,0.0,1.0,0.0,0.0
595,"subcons, we have operated at 6%-6.5% of subcon; today we are sitting at 11.3%, there is no",0.121,0.879,0.0,-0.296
596,reason for us to be at these levels unless we know what the job market is.,0.0,1.0,0.0,0.0
597,In the overall demand,0.333,0.667,0.0,-0.128
598,"environment, when our recruiting picks up we can replace these subcons with our own headcount,",0.0,1.0,0.0,0.0
599,put more freshers into projects and this is something we have been doing very well in the past as,0.0,0.883,0.117,0.3384
600,well.,0.0,0.0,1.0,0.2732
601,"So I think these levers are well known for us, we know how utilization works, our pyramid",0.0,0.884,0.116,0.2732
602,"works, so we are quite confident in the forward model of taking out cost from our overall structure.",0.0,0.83,0.17,0.5413
603,Sudheer Guntupalli,0.0,1.0,0.0,0.0
604,Just one more question if I may.,0.0,1.0,0.0,0.0
605,"So when we say the pipeline is larger now, just curious if the",0.0,0.839,0.161,0.3182
606,"pipeline is getting bigger and bigger because some of the decision making is getting slower, is",0.0,1.0,0.0,0.0
607,there any correlation you read in between the two?,0.0,1.0,0.0,0.0
608,Salil Parekh,0.0,1.0,0.0,0.0
609,The pipeline what we are seeing is there is appetite and you go by different industry for Digital,0.0,1.0,0.0,0.0
610,"transformation programs, for large cloud programs, for programs which start to relate to cost and",0.0,1.0,0.0,0.0
611,"efficiency, that is what is in the pipeline.",0.0,0.737,0.263,0.3612
612,It is not a function of the timeline which the delay that you,0.161,0.839,0.0,-0.3182
613,"referenced which is causing an increase, it is where we see traction with more and more client",0.0,0.874,0.126,0.3182
614,discussions as of today that we see.,0.0,1.0,0.0,0.0
615,"Now we will see how that evolves, that is the outlook we have",0.0,1.0,0.0,0.0
616,today.,0.0,1.0,0.0,0.0
617,Sudheer Guntupalli,0.0,1.0,0.0,0.0
618,Thanks Salil.,0.0,0.256,0.744,0.4404
619,Thanks Nilanjan.,0.0,0.256,0.744,0.4404
620,That is it from my side.,0.0,1.0,0.0,0.0
621,All the very best.,0.0,0.4,0.6,0.6697
622,Moderator,0.0,1.0,0.0,0.0
623,Ankur Rudra,0.0,1.0,0.0,0.0
624,Thank you for taking my question.,0.0,0.667,0.333,0.3612
625,First question is what is the level of conservatism or realism,0.0,1.0,0.0,0.0
626,"infused into both the revenue and the margin guide this time, part of that is on the revenue guide",0.0,1.0,0.0,0.0
627,we have given the potential macro headwinds ahead of us and the ask rate from the second half of,0.0,1.0,0.0,0.0
628,this year.,0.0,1.0,0.0,0.0
629,"Similarly, on margins we still have another round of wage hikes which can impact",0.0,1.0,0.0,0.0
630,margins by maybe as much as 100 basis points if I look at the wage hike impact so far and a,0.0,1.0,0.0,0.0
631,similar ratio between the first and the second rounds in the previous years and also keeping up,0.0,1.0,0.0,0.0
632,travel and facility costs?,0.0,1.0,0.0,0.0
633,Thank you.,0.0,0.286,0.714,0.3612
634,Salil Parekh,0.0,1.0,0.0,0.0
635,Thanks for the question.,0.0,0.508,0.492,0.4404
636,This is Salil.,0.0,1.0,0.0,0.0
637,Let me start off and then Nilanjan may have a few points to,0.0,1.0,0.0,0.0
638,add.,0.0,1.0,0.0,0.0
639,"On the guidance for growth, as we have shared in the past, the approach we take is we see",0.0,0.773,0.227,0.6124
640,how things are as we look at the financial year today.,0.0,1.0,0.0,0.0
641,What we saw is in Q1 we had extremely,0.0,1.0,0.0,0.0
642,strong revenue growth - 5.5% and we also had underlying volume growth which was very strong.,0.0,0.498,0.502,0.902
643,"When we see the outlook, where we have clarity looking ahead for some period of time and then a",0.0,0.87,0.13,0.4019
644,set of estimates that we have for the rest of the financial year and also looking at how typically H2,0.0,1.0,0.0,0.0
645,works versus H1 and then putting in some views on where the end of the year could be.,0.0,1.0,0.0,0.0
646,Based on,0.0,1.0,0.0,0.0
647,"that, we felt comfortable to increase the revenue growth guidance, whether it is conservative or",0.0,0.594,0.406,0.802
648,realistic that is the approach we take to make sure that we then share what we think the revenue is,0.0,0.8,0.2,0.5423
649,going to look like from here.,0.0,0.667,0.333,0.3612
650,On the margin I will start off and then Nilanjan will talk a little bit about the wage component and,0.0,1.0,0.0,0.0
651,what we have done.,0.0,1.0,0.0,0.0
652,"Overall on the margin, we have made sure that we work to get all of the",0.0,0.867,0.133,0.3182
653,levers in place.,0.0,1.0,0.0,0.0
654,"So the approach to driving cost efficiency is in place, several levers that Nilanjan",0.0,0.839,0.161,0.3612
655,"mentioned, one of the bigger ones we got the bulk impact, the vast majority of our compensation",0.0,1.0,0.0,0.0
656,increase already done in Q1.,0.0,0.635,0.365,0.3182
657,So yes there is a small component but it is not really a huge,0.164,0.716,0.119,-0.1915
658,component that will come up and then we see steadily other areas which will help us.,0.0,0.847,0.153,0.4019
659,There are,0.0,1.0,0.0,0.0
660,"areas where we can focus on how the subcontracting works, there are areas where we can focus",0.0,1.0,0.0,0.0
661,"on discussions with clients vis-à-vis wage increases and COLA, areas where we are doing work",0.0,1.0,0.0,0.0
662,which is having significant impact for clients.,0.0,0.769,0.231,0.2023
663,So we think there are a set of those levers that can help us through the margin discussion that will,0.0,0.876,0.124,0.4019
664,be focused on in this financial year.,0.0,0.698,0.302,0.3818
665,Our approach is to make sure that we remain a high margin,0.0,0.827,0.173,0.3182
666,business and that is the underlying thing that we are working with.,0.0,1.0,0.0,0.0
667,"Given where we are, given the",0.0,1.0,0.0,0.0
668,"inflation around the world, we thought it was clear to make sure that we communicated that in the",0.0,0.766,0.234,0.5994
669,way we see the markets.,0.0,1.0,0.0,0.0
670,"Nilanjan, anything else, if you want to add?",0.0,0.843,0.157,0.0772
671,Nilanjan Roy,0.0,1.0,0.0,0.0
672,No.,0.0,1.0,0.0,0.0
673,That is good.,0.0,0.408,0.592,0.4404
674,Ankur Rudra,0.0,1.0,0.0,0.0
675,Just a quick follow-up if I may on margins.,0.0,1.0,0.0,0.0
676,"Nilanjan are there any one-offs in the margin this time,",0.0,1.0,0.0,0.0
677,"asking another way what would be the pro-forma margins, if the provision reversal was not to",0.0,1.0,0.0,0.0
678,happen and related to that can you say that 20% in Q1 should be the bottom of margins going,0.0,1.0,0.0,0.0
679,forward so that we can get back to 21% for the year realistically?,0.0,1.0,0.0,0.0
680,Nilanjan Roy,0.0,1.0,0.0,0.0
681,"Yes, so I think we have mentioned the margin walk at the beginning of the call.",0.0,0.847,0.153,0.4019
682,So if we are at,0.0,1.0,0.0,0.0
683,"20% and we are guiding at the bottom end of 21%, so mathematics indicates that we have to",0.0,1.0,0.0,0.0
684,improve going forward.,0.0,0.408,0.592,0.4404
685,"So absolutely, from 20% we will have to see the improvement quarter-on-",0.0,0.786,0.214,0.4588
686,quarter.,0.0,1.0,0.0,0.0
687,Ankur Rudra,0.0,1.0,0.0,0.0
688,Thank you and best of luck.,0.0,0.236,0.764,0.8658
689,Moderator,0.0,1.0,0.0,0.0
690,Ravi Menon,0.0,1.0,0.0,0.0
691,Congrats on good set of numbers.,0.0,0.388,0.612,0.743
692,Just wanted your thoughts on how broad based in North,0.0,1.0,0.0,0.0
693,America you will see such problems to sustain for a long time until you call out some headwinds in,0.13,0.87,0.0,-0.4019
694,"BFSI, even that still have quite a bit of revenue.",0.0,1.0,0.0,0.0
695,If you could give some color about how sustained,0.0,1.0,0.0,0.0
696,the demand environment is there.,0.273,0.727,0.0,-0.128
697,"And secondly on the pyramids, we have already seen a large",0.0,1.0,0.0,0.0
698,intake of freshers last year so had hoped that some of that would have come into production and,0.0,0.855,0.145,0.4364
699,"helped us offset the margin headwinds through this quarter but looks like given the utilization, as",0.0,0.822,0.178,0.5023
700,well it does not look like much of that has happened.,0.16,0.681,0.159,-0.0026
701,"So, if you could give some color on that?",0.0,1.0,0.0,0.0
702,Salil Parekh,0.0,1.0,0.0,0.0
703,This is Salil.,0.0,1.0,0.0,0.0
704,I did not catch the first part of the question.,0.0,1.0,0.0,0.0
705,I think it was about demand but maybe,0.152,0.848,0.0,-0.0644
706,you can just say the first question?,0.0,1.0,0.0,0.0
707,Ravi Menon,0.0,1.0,0.0,0.0
708,It was around the demand.,0.273,0.727,0.0,-0.128
709,We have seen broad-based revenue addition across verticals in North,0.0,1.0,0.0,0.0
710,America and if you are seeing the pipeline also along similar lines.,0.0,1.0,0.0,0.0
711,So are there any specific,0.0,1.0,0.0,0.0
712,verticals where you see some softness starting to come in?,0.0,1.0,0.0,0.0
713,Salil Parekh,0.0,1.0,0.0,0.0
714,"As we referenced, we see some pockets of softness within our overall business.",0.0,1.0,0.0,0.0
715,That is why we,0.0,1.0,0.0,0.0
716,wanted to be very clear that that is something that is visible.,0.0,0.792,0.208,0.4391
717,Couple of examples we have shared,0.0,0.676,0.324,0.34
718,"on Financial Services and Retail, there are areas where we see that weakness; however, once we",0.157,0.843,0.0,-0.4215
719,say that we also have a view and we see it in our pipeline the overall pipeline is stronger.,0.0,0.874,0.126,0.3818
720,So there,0.0,1.0,0.0,0.0
721,are areas where we see some good traction as well and it is a mix of the growth and the cost,0.0,0.703,0.297,0.765
722,opportunities within our pipeline.,0.0,0.536,0.464,0.3818
723,I think the second one was about the pyramid?,0.0,1.0,0.0,0.0
724,Nilanjan Roy,0.0,1.0,0.0,0.0
725,Yes we have hired a lot of freshers last year and many of them also have gone into training,0.0,0.87,0.13,0.4019
726,pipeline because as we had the previous year there was nothing really in the pipeline in terms of,0.0,1.0,0.0,0.0
727,hiring.,0.0,1.0,0.0,0.0
728,So in fact if you see our utilization there is a 2% gap between the excluding trainees and,0.0,1.0,0.0,0.0
729,including trainee numbers on a year-on-year basis as well.,0.0,0.792,0.208,0.2732
730,We continue to deploy them into,0.0,1.0,0.0,0.0
731,projects.,0.0,1.0,0.0,0.0
732,"Like I said, you cannot overnight stuff projects with freshers and that is why it is important",0.0,0.777,0.223,0.5106
733,to build a pipeline in advance and make them go through the trainings and then put them into,0.0,1.0,0.0,0.0
734,production bench and then move them into projects as well.,0.0,0.811,0.189,0.2732
735,So that benefit will come in and we,0.0,0.681,0.319,0.507
736,"are seeing that slowly coming in, but it is important to invest ahead.",0.0,0.845,0.155,0.296
737,"If you are planning just in time,",0.0,1.0,0.0,0.0
738,you will be probably sub optimizing in terms of how fast you can deploy.,0.0,0.812,0.188,0.4588
739,So that is why we have,0.0,1.0,0.0,0.0
740,"made these investments because we know it will take time for these freshers to be productive,",0.0,1.0,0.0,0.0
741,hence it is important to make that investment ahead.,0.0,0.816,0.184,0.2023
742,Ravi Menon,0.0,1.0,0.0,0.0
743,Thanks gentlemen.,0.0,0.256,0.744,0.4404
744,One follow-up of this last quarter's contractual revenue.,0.0,1.0,0.0,0.0
745,So did you recognize,0.0,1.0,0.0,0.0
746,all of them this quarter or is there still something pending?,0.0,1.0,0.0,0.0
747,Nilanjan Roy,0.0,1.0,0.0,0.0
748,"Yes, it was all recognized this quarter.",0.0,0.69,0.31,0.4019
749,Ravi Menon,0.0,1.0,0.0,0.0
750,Thank you.,0.0,0.286,0.714,0.3612
751,Best of luck.,0.0,0.122,0.878,0.802
752,Moderator,0.0,1.0,0.0,0.0
753,Pankaj Kapoor,0.0,1.0,0.0,0.0
754,Thanks for the opportunity.,0.0,0.26,0.74,0.6908
755,Salil can you give some color on the overall order book since the,0.0,1.0,0.0,0.0
756,"reported TCV, what we give that covers only $50 mn plus deal and may not really be",0.0,1.0,0.0,0.0
757,representative.,0.0,1.0,0.0,0.0
758,So any quantitative or qualitative comment on the scale and how the overall order,0.0,1.0,0.0,0.0
759,"book has grown, that will be helpful?",0.0,0.682,0.318,0.4215
760,Salil Parekh,0.0,1.0,0.0,0.0
761,Thanks for the question.,0.0,0.508,0.492,0.4404
762,"As you know, we share the large deal win numbers.",0.0,0.571,0.429,0.7184
763,We do not publish,0.0,1.0,0.0,0.0
764,the overall deal wins.,0.0,0.448,0.552,0.5719
765,"Having said that, the main context I would put is the increase in the growth",0.0,0.726,0.274,0.5994
766,"guidance that we have provided and that factors in all of the inputs that you may be looking for,",0.0,1.0,0.0,0.0
767,"which essentially comes from a very strong Q1 execution - 5.5% QoQ, 21.4% YoY growth and",0.0,0.693,0.307,0.7346
768,"then a view that we have on what we see in the coming quarters and an overall view of H1, H2 in",0.0,1.0,0.0,0.0
769,our mix within the company - that is sort of broadly how we looked at it.,0.0,1.0,0.0,0.0
770,"On the large deals, we",0.0,1.0,0.0,0.0
771,have shared this in the past.,0.0,0.676,0.324,0.34
772,"Typically, this is a number which is a little bit more volatile because",0.0,0.902,0.098,0.0772
773,we only report deals which are larger than $50 million in our large deals and so that is really the,0.0,1.0,0.0,0.0
774,way you can look at.,0.0,1.0,0.0,0.0
775,Pankaj Kapoor,0.0,1.0,0.0,0.0
776,My second question is on the profitability in the manufacturing vertical where the margins have,0.0,0.87,0.13,0.2732
777,been coming down and in fact the last three quarters probably they have halved despite a very,0.0,1.0,0.0,0.0
778,strong revenue growth.,0.0,0.145,0.855,0.7096
779,I understand this could be because of a very large deal which is still,0.0,1.0,0.0,0.0
780,"ramping up there, can you give a sense of how the profitability curve in this vertical could shape",0.0,0.89,0.11,0.2732
781,"over the next two, three quarters.",0.0,1.0,0.0,0.0
782,What I am trying to understand is that has it bottomed out now or,0.0,1.0,0.0,0.0
783,you think that this could potentially go down further?,0.0,1.0,0.0,0.0
784,Thank you.,0.0,0.286,0.714,0.3612
785,Nilanjan Roy,0.0,1.0,0.0,0.0
786,"Firstly, you have seen the revenue growth which has been quite spectacular in this segment.",0.0,0.843,0.157,0.3818
787,This,0.0,1.0,0.0,0.0
788,has been led by large deals.,0.0,1.0,0.0,0.0
789,"As we talk about our approach, from day one a lot of clients would",0.0,1.0,0.0,0.0
790,"like to see savings, but we are very clear that over a period of time we have a lot of cost",0.0,0.773,0.227,0.6798
791,optimization levers.,0.0,0.278,0.722,0.3818
792,"On day one you cannot pivot the cost structure, whereas clients may ask for",0.0,1.0,0.0,0.0
793,"the savings, but we know there are enough levers over time that we continue to deploy on all",0.0,1.0,0.0,0.0
794,these large deals.,0.0,1.0,0.0,0.0
795,"And if I go back to the last three years, four years in fact when the large deal",0.0,1.0,0.0,0.0
796,"strategy started, we have actually seen an increase in margins over that period.",0.0,0.839,0.161,0.3182
