index,sentence,neg,neu,pos,compound
240,"So, at this stage, given all of those things, we have chosen to increase our guidance and therefore remain quite positive on the outlook that is there for our businesses.",0.0,0.819,0.181,0.7346
241,Pankaj Kapoor Understood.,0.0,1.0,0.0,0.0
242,Thank you and wish you all the best.,0.0,0.347,0.653,0.8555
243,"James Friedman Hi, and let me echo the congratulations Pravin, I have learned a lot from you over the years and I appreciate it.",0.0,0.769,0.231,0.765
244,"I know you keep getting asked about this, but we do too.",0.0,1.0,0.0,0.0
245,Any sense at this point when or if you would see stabilization in the attrition at the industry level?,0.0,1.0,0.0,0.0
246,And where is the industry losing the people to?,0.245,0.755,0.0,-0.3818
247,"Are they going to tech pure plays, to your customers, to captives, we are just wondering about that?",0.0,0.895,0.105,0.25
248,Thank you.,0.0,0.286,0.714,0.3612
249,"Pravin Rao I think at this stage, maybe in the next 2 to 3 quarters, perhaps the attrition will stabilize given such influx of talent.",0.0,0.896,0.104,0.4215
250,"The demand is far outstripping talent supply that is available even globally, and that is why we are seeing this phenomenon not only with us, but across the industry, and we have seen this even in other industries as well.",0.029,0.864,0.106,0.5106
251,"In terms of where they are going, it is a common thing, right?",0.0,1.0,0.0,0.0
252,"Typically, we lose people to competition and we also recruit from competition, so that is one part.",0.144,0.856,0.0,-0.4019
253,"But again, we are also losing people to captives, some of the hyperscalers have also started recruiting, and of course, in India startups now again have become very attractive with a lot of Unicorns and so on.",0.08,0.82,0.1,0.2238
254,"That is a combination of things and I think the only way it can stabilize is to influx more talent into the mix, and that we believe probably in the next two to three quarters, will happen and with aggressive reskilling and we should be able to bring it back under control.",0.029,0.914,0.057,0.3597
255,"James Friedman Thank you, Pravin, all the best.",0.0,0.472,0.528,0.7717
256,Sudheer Guntupalli Good evening gentlemen.,0.0,0.58,0.42,0.4404
257,Thanks for giving me this opportunity and congrats on a good quarter.,0.0,0.327,0.673,0.9246
258,"Firstly, Nilanjan on the effort mix, onsite-offshore, I am curious as to why has the onsite share of effort come down in this quarter, despite the Daimler deal ramp up and in the initial phases I would have expected that the ramp-up would show us a higher share of onsite, that is number 1.",0.0,0.862,0.138,0.7184
259,And then a little bit of travel has also opened up but not completely.,0.0,1.0,0.0,0.0
260,"So, despite these two reasons I believe you are able to show a higher offshore effort, in this quarter.",0.0,1.0,0.0,0.0
261,Any sense on what might be driving that?,0.0,1.0,0.0,0.0
262,"Nilanjan Roy Yes, like I said, Daimler is not just one contract we have.",0.0,0.698,0.302,0.6369
263,"It is a large business which we run and we also had Daimler ramp-up in the last quarter, it is not suddenly that everybody is onsite on one day.",0.0,1.0,0.0,0.0
264,"So, you would see these blips on onsite-offshore mix and last quarter it was flatter but now you have seen movement.",0.0,0.943,0.057,0.0516
265,"But I think more importantly to see secular trend, like I said, this demand is at a global level.",0.079,0.651,0.27,0.691
266,I think where it is going to really sustain from?,0.0,1.0,0.0,0.0
267,"In the long run it is going to be from talent here, because that is quantity and scale, and digitally skilled talent is largely available in India.",0.0,0.817,0.183,0.6808
268,"So, while we continue to hire locally in large numbers.",0.0,1.0,0.0,0.0
269,"In our localization, the U.S. has already reached 70%.",0.0,0.851,0.149,0.1027
270,"We announced more than 10,000 additional hires over 2 years.",0.0,1.0,0.0,0.0
271,"But despite that, you will see the volume growth and the mix within that if you continue to technically move towards more offshore.",0.0,0.866,0.134,0.5267
272,"Sudheer Guntupalli Pravin, my second question, if you actually look at the experience bucket you spoke about where we had seen the highest attrition, which is in the 2 to 6-year bucket.",0.0,1.0,0.0,0.0
273,"So, at this level or perhaps at the entry-level if we had seen, the last 10 years, industry has not seen much of salary revisions.",0.0,1.0,0.0,0.0
274,"On a real rupee basis, if you see, perhaps it would have been in the negative territory.",0.188,0.812,0.0,-0.5719
275,"I am not talking just about Infosys, but for the entire industry.",0.0,1.0,0.0,0.0
276,"Now given the kind of demand we are seeing for this experience bucket, can we expect some sort of a structural increase in the salary levels, which can have a longer-term impact on margins, let us say 1 or 2 years down the line, when the demand might not be as robust as it is today?",0.089,0.872,0.039,-0.2568
277,"Pravin Rao When companies recruit people at entry levels, we have to also invest a lot in training and enabling them.",0.0,1.0,0.0,0.0
278,"They take a while before they become productive, but as they move up the system, their salaries increase dramatically.",0.0,0.859,0.141,0.4497
279,"So, for the people between 2-6 years of experience who are quitting, they would have got a good salary along the way as well.",0.0,0.815,0.185,0.6124
280,"So, I do not see the entry-level salary dramatically changing in any way.",0.0,1.0,0.0,0.0
281,There will be some corrections here and there.,0.0,1.0,0.0,0.0
282,"But at the same time, at least from our perspective we have also started differentiating at entry level itself.",0.0,1.0,0.0,0.0
283,"We have created two set of streams, one called Power Programmers and other one is called Digital Specialists; and in these streams, we are recruiting them at a much higher compensation.",0.0,0.938,0.062,0.25
284,And there is a very stringent criteria for selecting these candidates based on their background as well as passing a couple of tests.,0.0,0.913,0.087,0.2732
285,If people are able to pass that then we recruit them in these two streams at a much higher compensation.,0.0,1.0,0.0,0.0
286,"Because at the entry-level, we are recruiting at scale, right?",0.0,1.0,0.0,0.0
287,"But within that we are trying to differentiate, and where we feel that people come with very strong skills capabilities and they can be deployed immediately, we are looking at the different compensation rates.",0.0,0.871,0.129,0.7086
288,"Sudheer Guntupalli Thanks, Pravin.",0.0,0.508,0.492,0.4404
289,"As always, interactions with you have always been very insightful.",0.0,1.0,0.0,0.0
290,Congrats and all the best for your future endeavors.,0.0,0.479,0.521,0.8225
291,"Keith Bachman Hi, thank you very much.",0.0,0.706,0.294,0.3612
292,I wanted to also ask about attrition.,0.0,1.0,0.0,0.0
293,"You did make the comment that you think attrition improves next year, and I do not disagree with you, but I wanted to understand your thinking and more specifically, is it because demand slows across the industry?",0.045,0.866,0.089,0.1882
294,"And as you referenced, it is an industry issue.",0.0,1.0,0.0,0.0
295,"And that allows attrition to improve or there is some something fundamentally that you think demand can stay at these levels or maybe moderate a touch, but you can continue to hire more freshers to meet that.",0.033,0.916,0.051,0.1779
296,But it is an industry problem.,0.415,0.585,0.0,-0.5499
297,Your numbers increased substantially QoQ on attrition.,0.0,0.741,0.259,0.2732
298,"And so just wanted to understand a little bit more about, why you think attrition improves, because there is such a significant industry problem, not just an Infosys issue.",0.081,0.781,0.138,0.2263
299,"And then I have a follow-up, please.",0.0,0.723,0.277,0.3182
300,"Pravin Rao We are saying that the attrition will stabilize, primarily because of the influx of talent.",0.0,0.851,0.149,0.4215
301,The demand will continue.,0.333,0.667,0.0,-0.128
302,"In the near future, we are not seeing demand coming down by any accounts.",0.0,0.905,0.095,0.0951
303,"But today there is a shortage of talent and particularly in some of the geographies because of travel restrictions, we are not even able to deploy people from India in those geographies where there is a need.",0.061,0.85,0.09,0.296
304,"But over a period of time, not only Infosys, but almost every company, many of our peers have also started announcing, talking about aggressive hiring from campuses, right?",0.066,0.934,0.0,-0.2263
305,So that will result in higher availability of talent.,0.0,0.741,0.259,0.4215
306,"And once we can hire this talent and skill them appropriately, they will then be available to be deployed and to meet the demand and that is when we expect the attrition to come down.",0.04,0.874,0.086,0.4118
307,"Right now, the demand far outstrips the supply and that is where the challenges is.",0.095,0.823,0.082,-0.0516
308,Keith Bachman Okay.,0.0,0.513,0.487,0.2263
309,Do you think this suggests a different headcount management strategy?,0.0,1.0,0.0,0.0
310,"In other words, do you think you need to diversify?",0.0,1.0,0.0,0.0
311,"Because it sounds like the problem is much more significant in India versus other markets does this, you think, suggest a broadening of your reach in terms of supply capabilities, in Eastern Europe or otherwise?",0.069,0.787,0.145,0.2484
312,Does it suggest a different strategy on managing your headcount?,0.0,1.0,0.0,0.0
313,Pravin Rao There are a couple of things.,0.0,1.0,0.0,0.0
314,"One is, of course, in terms of talent availability, in terms of scale and quantity I do not think any other country can match that.",0.0,0.896,0.104,0.4215
315,"So, from that extent, most of the noise and other things you are hearing are in India only.",0.0,1.0,0.0,0.0
316,"So that is one part of it, because I do not see any other country being able to provide such kind of talent with scale.",0.0,0.905,0.095,0.3626
317,So that is why we are seeing higher number.,0.0,0.86,0.14,0.0772
318,"And the second one is, this is an unusual phenomenon.",0.0,1.0,0.0,0.0
319,"We have not seen this kind of war for talent for a long period of time and as I myself have been in the industry for over 35 years, I cannot think of a time when we have seen this kind of situation.",0.087,0.854,0.058,-0.3384
320,"When we talk to people them when they are leaving, most of them are complimentary about Infosys, they talk highly about the culture, the kind of training, kind of opportunities they get and other things.",0.0,0.864,0.136,0.6378
321,"But they are also saying, at the same time, the kind of compensation they are being offered is significantly higher.",0.0,1.0,0.0,0.0
322,"So today, despite all the HR interventions and other things, compensation seems to be a very big criteria and particularly for some of the companies who are just scaling up or who are setting up centers here, there are no options but to go aggressive on compensation to attract and get the talent.",0.049,0.833,0.118,0.7227
323,"So, I would say that is the reason.",0.0,1.0,0.0,0.0
324,"And this is an unusual thing where some of your normal HR levers do not seem to work and people do acknowledge that they are happy otherwise, but the kind of offers they are getting is too attractive for them to refuse.",0.058,0.812,0.129,0.5267
325,"These are all junior people, they are not emotionally fully connected with the company, whereas at the mid-level and senior-level, they are much more connected with the company.",0.0,1.0,0.0,0.0
326,"They understand the culture, they understand the industry and other things.",0.0,1.0,0.0,0.0
327,"So there, some of the HR practices work better.",0.0,0.734,0.266,0.4404
328,"But at the junior level, while we try, what is out there is attractive and that becomes a challenge.",0.0,0.762,0.238,0.6486
329,Keith Bachman You mentioned a number of times that you do not see attrition improving over the next couple of quarters.,0.103,0.84,0.057,-0.2575
330,But does your reported number get worse over the next couple of quarters just so we can manage investor expectations?,0.176,0.763,0.061,-0.5719
331,"Pravin Rao It will probably take a couple of quarters before attrition easing, because you have to onboard supply, you have to skill them, train them.",0.0,0.926,0.074,0.25
332,So that will take some time before supply is available to be deployed in projects.,0.0,1.0,0.0,0.0
333,So that is the time that will take before attrition eases.,0.0,0.813,0.187,0.3182
334,That is what I meant.,0.0,1.0,0.0,0.0
335,"Keith Bachman Does your reported attrition number get worse in, than the December and March quarters?",0.168,0.761,0.071,-0.4215
336,Can attrition get worse before it gets better?,0.258,0.5,0.242,-0.0516
337,"Pravin Rao We hope that is not the case, but it is difficult to predict.",0.179,0.714,0.107,-0.3182
338,"But as I said earlier, so far we have been able to manage all the client expectations through hiring, through reskilling and through usage of subcontractors.",0.0,1.0,0.0,0.0
339,"So, at this stage, we are comfortable to meet all our planned commitments.",0.0,0.696,0.304,0.5859
340,Keith Bachman Many thanks and congratulations on solid results.,0.0,0.417,0.583,0.8126
341,"Kawaljeet Saluja Pravin, I have learnt a lot from you and let us hope you stay in touch.",0.0,0.854,0.146,0.4404
342,"I have a couple of questions, one for Pravin and one for Nilanjan.",0.0,1.0,0.0,0.0
343,"Nilanjan, for you the question is that you mentioned that the impact of wage increase is approximately 110 basis points and if I just do the back of the envelope math, your offshore wages, that percentage of revenue is 20%.",0.0,0.944,0.056,0.3182
344,So that equates to just a 5% wage increase effectively.,0.0,0.606,0.394,0.6369
345,Is that sufficient in the current environment?,0.0,1.0,0.0,0.0
346,"Nilanjan Roy Couple of things, one is, of course, there were onsite and offshore both.",0.0,1.0,0.0,0.0
347,There is a mix of that and it is only up to JL6’s.,0.0,1.0,0.0,0.0
348,"So, we planned for the senior and title holders in October.",0.0,1.0,0.0,0.0
349,"Also from October, we are rolling out more skill-based intervention compensation changes.",0.0,1.0,0.0,0.0
350,"So, as you know, this is something we did in January, then we have done something in July.",0.0,1.0,0.0,0.0
351,"And like I said, we are going to do something in October as well, not at the same level, but like I said, we need to do whatever is required to a) keep key talent back, and b) hire laterals as well, because as Pravin mentioned, even the cost of lateral goes up.",0.0,0.788,0.212,0.8979
352,I mean the churn is rotational in the industry.,0.0,1.0,0.0,0.0
353,It is a zero-sum game; somebody else’s lateral is somebody else’s churn.,0.0,1.0,0.0,0.0
354,"So, we will do whatever is required to even onboard lateral and freshers.",0.0,1.0,0.0,0.0
355,"But at the end of the day, I think from an industry perspective, it is only once the freshers come in, can you really start seeing this thing really easing up.",0.0,0.911,0.089,0.4478
356,"But we are quite comfortable in that sense in terms of our guidance, in terms of fulfilling what the clients are asking for and one of the ways is, of course, the subcon increase is not the best from a margin perspective, but you have seen our stats on subcon slightly going up just to fulfill that gap.",0.065,0.769,0.166,0.7985
357,"Kawaljeet Saluja What will be the impact of wage revision, let us say, in December because that would be rolled out at a senior level?",0.0,1.0,0.0,0.0
358,"So, the impact of that would be a higher percentage offshore overall compensation number.",0.0,0.909,0.091,0.0772
359,"So, what will be the impact of wage revision in December?",0.0,1.0,0.0,0.0
360,"Nilanjan Roy So, we do not call out, but the overall wage impact of the senior level is definitely lower than I mean the headcount is a much, much smaller amount than what we have rolled out.",0.068,0.846,0.086,0.1901
361,But we cannot give a number of what is the margin impact.,0.108,0.892,0.0,-0.0857
362,Kawaljeet Saluja The second question I had is for Pravin.,0.0,1.0,0.0,0.0
363,"Now, Pravin, we have been wired through your performance historically that whenever the attrition rates go up, your utilization rates go down.",0.0,1.0,0.0,0.0
364,"But this time around, they seem to be moving in the same direction, which is rather unusual.",0.0,1.0,0.0,0.0
365,"When do you think that this divergence really starts playing out the way, logically, it has done historically?",0.0,0.891,0.109,0.2682
366,"Pravin Rao I am not sure about the correlation you are talking about because if attrition goes up the natural correlation would be utilization also improving, so there is a need to fulfillment, right?",0.051,0.81,0.139,0.5168
367,"I mean you are talking about contrary, so I am not sure of the application.",0.123,0.877,0.0,-0.2411
368,Kawaljeet Saluja But the logic is straightforward.,0.0,1.0,0.0,0.0
369,"Ultimately if the attrition is higher, normally you require greater project bench to fulfill customer demand and a high attrition environment also indicates a healthy growth environment, again which need a larger bench.",0.037,0.697,0.266,0.8481
370,So that was the logic behind that statement.,0.0,1.0,0.0,0.0
371,"Pravin Rao But anyway, in the current situation, there is no supply.",0.203,0.797,0.0,-0.4215
372,"As I said, you have to recruit people, train them and then deploy, that will take some time.",0.0,1.0,0.0,0.0
373,"You have to look at your existing people, re-skill them and deploy, that is the fastest thing for you to do.",0.0,1.0,0.0,0.0
374,"That means higher utilization and wherever there are gaps, we also look at subcons and we have seen increased subcons as well.",0.0,0.826,0.174,0.4939
375,"So, the high utilization is definitely a function of lack of availability of talent, and we are recruiting as much as we can to meet the demands of our customers.",0.066,0.776,0.158,0.4939
376,"Kawaljeet Saluja Okay, fantastic.",0.0,0.267,0.733,0.6705
377,"Thanks, and congratulations to all of you for a great quarter.",0.0,0.423,0.577,0.8979
378,"Gaurav Rateria Hi, congratulations on a great performance and all the best to Pravin.",0.0,0.474,0.526,0.9217
379,"Two questions, the first question is to Nilanjan on margins.",0.0,1.0,0.0,0.0
380,We just wanted to understand the puts and takes on margins in the second half.,0.0,1.0,0.0,0.0
381,"When we look at the various headwinds, there are continued rising attrition rates, higher travel expenses potentially; wage hike for a section of employees, full impact of the large deal ramp up, which is likely to take place in 3Q as well.",0.0,0.951,0.049,0.2732
382,So just trying to understand what are the tailwinds that can help to offset some of these impacts and keep the margin within the bag?,0.0,0.899,0.101,0.4019
383,"Nilanjan Roy We are going to have these headwinds, like you said on retention, on hiring, etc.",0.0,0.865,0.135,0.3612
384,"But I think, like we demonstrated this quarter as well, we have a very strong cost optimization program also ongoing, automation, onsite offshore mix with broad basing of the pyramid, both onsite offshore.",0.0,0.665,0.335,0.9391
385,"We are among the few companies who have these global DCs now in the West, where we can pump in freshers, right.",0.0,1.0,0.0,0.0
386,"So, I mean, we would not have had freshers in our onsite business, but now we are having more than 3,000-odd freshers a year in the onsite locations.",0.0,1.0,0.0,0.0
387,"So, this also helps in the pyramid.",0.0,0.698,0.302,0.3818
388,"And as you know, 75% of our people cost is onsite.",0.0,1.0,0.0,0.0
389,"So, unless we really address onsite costs, you cannot really make an impact on the overall cost structure.",0.0,1.0,0.0,0.0
390,"So, all this is going on.",0.0,1.0,0.0,0.0
391,"We are also looking at pricing much more holistically at this time, although it is not easy to go and get price hikes just on the basis of a rate card.",0.074,0.926,0.0,-0.3412
392,"But basically, we are working with our sales force on how to sell on value, how to sell on more innovative commercial constructs and the idea is not to leave those cents and pennies on the table in this market, be a bit bolder in terms of pricing.",0.0,0.794,0.206,0.8863
393,"But this is a long haul, if there is any time to start something on this, it is now.",0.0,1.0,0.0,0.0
394,Gaurav Rateria My second question is to Salil with respect to visibility.,0.0,0.78,0.22,0.4767
395,"As we enter calendar 2022, is it fair to say that when we entered calendar 2021, the visibility was higher than usual, given the large amount of the new deals already in the bag, which may not necessarily be the case as we get into the calendar 2022?",0.0,0.953,0.047,0.3182
396,"So, is it fair to say that the visibility will be relatively lower than calendar 2021, which was at a high and elevated level?",0.083,0.83,0.087,0.0258
397,Thank you.,0.0,0.286,0.714,0.3612
398,Salil Parekh I think the way we see our business; we look at it from the financial year perspective.,0.0,1.0,0.0,0.0
399,"When we started this financial year, you will recall the COVID situation was in all the geographies and while we had a healthy pipeline because of the digital work, that was always something of an overhang that was there.",0.0,0.934,0.066,0.4019
400,"Then you have seen that from our initial guidance, we increased the guidance last quarter.",0.0,0.87,0.13,0.2732
401,We have now further increased the guidance this quarter.,0.0,0.792,0.208,0.2732
402,"So, we have extremely good visibility for this financial year with the guidance we have given.",0.0,0.824,0.176,0.4927
403,"As we finish Q3 and start to get into Q4, we will start to have a good idea of what the following financial year will look like.",0.0,0.822,0.178,0.6597
404,My own sense is the demand that we have is quite comprehensive and that will certainly continue to help us as long as we build out the new capabilities well and be part of the clients’ digital and cloud journey.,0.033,0.761,0.206,0.7902
405,"So, the increase in guidance gives us more confidence now for this financial year.",0.0,0.671,0.329,0.7089
406,"Salil Parekh Thank you, everyone.",0.0,0.615,0.385,0.3612
407,"So, I will just spend a couple of minutes in closing.",0.0,1.0,0.0,0.0
408,"First, we have had the best quarter in terms of growth, 19.4% highest that we have had in 11 years.",0.0,0.726,0.274,0.7783
409,"So, we are extremely delighted with that outcome.",0.0,0.661,0.339,0.5563
410,The demand is strong.,0.221,0.294,0.485,0.4215
411,There are multiple components of demand.,0.231,0.769,0.0,-0.128
412,"One is large deals, which is still looking good with the pipeline we have, including the $2 bn that we have secured in this quarter.",0.0,0.804,0.196,0.6808
413,"There is a huge amount of existing client base that we have, where we see incredible demand.",0.094,0.786,0.12,0.1298
414,This does not always come into the large deals bucket.,0.0,1.0,0.0,0.0
415,"It will be in different sizes, some are large, and some are not.",0.0,1.0,0.0,0.0
416,"But a client that I talked to last week in a meeting with the CIO, we were looking at multiple thousand people expansion at a client where we already have an account base of over a $100 mn today.",0.0,1.0,0.0,0.0
417,Then we see the capability set and the demand in digital and cloud.,0.111,0.889,0.0,-0.128
418,Clients are extremely thrilled with our capabilities and we see good traction in that.,0.0,0.663,0.337,0.7264
419,"Second, the operating efficiency is strong.",0.0,0.408,0.592,0.7003
420,The margin resilience that we talked about; we have done really well there.,0.0,0.834,0.166,0.3384
421,"Of course, as Nilanjan mentioned, we do see some additional cost that will come; and we are comfortable with our margin guidance that we have given.",0.0,0.883,0.117,0.5106
422,"Third, we talked a lot, Pravin gave a lot of detail – we are expanding our supply capacity that we are taking in and that is the medium-term play that we have because the demand is long term; and we will make sure the supply – with our incredible brand and training will continue.",0.026,0.892,0.082,0.4939
423,"Fourth, we have increased our guidance.",0.0,0.704,0.296,0.2732
424,"So, we are extremely optimistic and bullish with 16.5% to 17.5% on growth and overall, I personally remain positive about the future in our tech services business growing at 18% today.",0.0,0.72,0.28,0.8588
