index,sentence,label,score
433,trend - we think we will continue to see that the large global markets will open a lot more,NEGATIVE,0.9277683
434,offshoring opportunities.,POSITIVE,0.835954
435,Keith Bachman,POSITIVE,0.9043514
436,Many thanks.,NEGATIVE,0.7562889
437,Congratulations.,POSITIVE,0.7481964
438,Margaret - Moderator,POSITIVE,0.92569476
439,ahead.,POSITIVE,0.8797629
440,Diviya Nagarajan,POSITIVE,0.9249967
441,Thanks for taking my question and congratulations on a very impressive quarter to the,NEGATIVE,0.9115076
442,team.,POSITIVE,0.9234609
443,"My question is on pricing, Salil we have seen now several quarters of strong",POSITIVE,0.868443
444,"demand and it looks like we are looking at another year, looking at the run rate that we are",POSITIVE,0.8760257
445,exiting the calendar with a pretty strong demand as well and you just discussed supply in,POSITIVE,0.6836072
446,the last few comments that you made.,POSITIVE,0.89003414
447,How do you see pricing really trend in the next 12-,POSITIVE,0.90656155
448,"18 months, is there an opportunity for this to go up on a like to like basis?",POSITIVE,0.74187547
449,Salil Parekh,POSITIVE,0.8668303
450,"Diviya thanks for that question, this is Salil.",POSITIVE,0.91992486
451,I think on pricing first we have seen some level,POSITIVE,0.7125836
452,of stability in what we saw in the specific deals that we closed in Q3 versus Q2.,NEGATIVE,0.6586894
453,On the,POSITIVE,0.8149376
454,"longer term, Nilanjan has shared in the past we have put in place a very focused effort on",NEGATIVE,0.8339907
455,communicating the value that we are helping create with our clients through the digital,POSITIVE,0.7165711
456,programs.,POSITIVE,0.9367732
457,"We are also seeing as we have shared wage increases, we have done three in",NEGATIVE,0.8527077
458,the last 12 months and broadly we are seeing large enterprises for the first time in a very,NEGATIVE,0.7913339
459,long time are seeing inflation in their daily environment and so are more open to having,POSITIVE,0.8596302
460,these discussions.,POSITIVE,0.93710876
461,"With these factors in mind, we really see some more value that we can",NEGATIVE,0.5780474
462,bring in through communicating and demonstrating our digital impact that we are creating,POSITIVE,0.78946686
463,through those programs.,POSITIVE,0.9162759
464,"And that, while it will not be immediate, over the next several",POSITIVE,0.8779009
465,"quarters, in my view will help us to build out more resilience in the margin profile.",NEGATIVE,0.94807166
466,Diviya Nagarajan – UBS,POSITIVE,0.9005189
467,"You earlier enumerated your skills and capabilities, but if you were to kind of think of any",POSITIVE,0.9147785
468,"future investments that you are going to make, in which direction would you direct that",POSITIVE,0.93610156
469,investment through in terms of your skills and capabilities?,POSITIVE,0.79023117
470,Salil Parekh,POSITIVE,0.8668303
471,"Today the biggest drive within our clients is really cloud, our Cobalt capabilities are very",NEGATIVE,0.5062517
472,strong and we are constantly enhancing it.,NEGATIVE,0.65847415
473,Whether we look at the public cloud,POSITIVE,0.9396516
474,"partnerships, we have also a strong ecosystem of private cloud partnerships, we have a",NEGATIVE,0.53853047
475,"good ecosystem with the SaaS players, extremely strong cloud native cloud first",NEGATIVE,0.91986847
476,development.,POSITIVE,0.9316513
477,"Those would be really the first areas where we are already leading, but we",POSITIVE,0.7370118
478,will continue to grow.,POSITIVE,0.50933176
479,"Then you have the areas which focus on cybersecurity, which focus on data and analytics,",POSITIVE,0.93669045
480,which focus on IoT.,POSITIVE,0.93713766
481,Those are the areas which are seeing incredible traction with our,NEGATIVE,0.9070675
482,clients.,POSITIVE,0.93062776
483,We have a strong modernization and automation leveraging Artificial Intelligence,NEGATIVE,0.67776763
484,and Machine Learning - we will continue to build that out.,POSITIVE,0.74798566
485,Our approach is going to be to,POSITIVE,0.919715
486,drive all of these through our current margin profile.,POSITIVE,0.794817
487,That is what we will drive through as,POSITIVE,0.879032
488,opposed to any new place for investments.,POSITIVE,0.9030136
489,Diviya Nagarajan,POSITIVE,0.9249967
490,Fair enough.,POSITIVE,0.82909113
491,"One last bookkeeping question, your ‘Other’ segment had a big swing this",POSITIVE,0.5351362
492,"quarter, is there anything particular that we should be looking at here, any one off or if not,",POSITIVE,0.9070681
493,what drove that.,POSITIVE,0.8825238
494,Nilanjan Roy,POSITIVE,0.8504617
495,"That is coming from India, where we have some seasonality with some of our clients",POSITIVE,0.757403
496,towards the quarter end and you will see that in the geography sector of India.,POSITIVE,0.85768133
497,Diviya Nagarajan – UBS,POSITIVE,0.9005189
498,"Got it, thank you and wish you all the best for 2022.",NEGATIVE,0.66139376
499,Margaret - Moderator,POSITIVE,0.92569476
500,go ahead.,POSITIVE,0.89627224
501,Ashwin Mehta,POSITIVE,0.9054183
502,I had one question on the third party bought out items for service delivery.,POSITIVE,0.92311174
503,That item,POSITIVE,0.8582802
504,"seems to have gone up by almost $71 mn this quarter almost 1.8% of revenues, so just",NEGATIVE,0.9342548
505,wanted to check what does this pertain to and is it possibly related to the data center,POSITIVE,0.9372979
506,takeovers that we would have done in some of our large deals.,POSITIVE,0.921154
507,Nilanjan Roy,POSITIVE,0.8504617
508,"As we are looking at in many digital end-to-end transformation, whether IT as a service,",POSITIVE,0.92996705
509,"full stack transformation, we have involved, infrastructure, SaaS, data, so it is a full stack",POSITIVE,0.9051829
510,"transformation and in many cases, these involve infrastructure and software as well.",POSITIVE,0.9433184
511,These are bundled deals which are end-to-end transformation and we think they are,POSITIVE,0.91487724
512,important as well going ahead when we look at these digital transformations.,POSITIVE,0.90795547
513,"So, I think as",POSITIVE,0.869333
514,"part of our overall deal profiles, we continue to see these deals giving us increased",NEGATIVE,0.86084646
515,visibility into the organization IT infrastructure and allowing our future deals ahead once,NEGATIVE,0.5907092
516,"we are pretty much front and center in the IT landscape, so that’s what these are.",POSITIVE,0.9354159
517,Ashwin Mehta,POSITIVE,0.9054183
518,"Just one last question, in terms of our margin outlook over the near term, do you think that",POSITIVE,0.91684204
519,"with the attrition starting to on a quarterly annualized basis normalizing, the interventions",NEGATIVE,0.8141658
520,that are required possibly go down in the near term so that we can possibly make a higher,NEGATIVE,0.5018768
521,"exit at the end of this year, so that we can maintain margins in the next year as well?",POSITIVE,0.6417553
522,Nilanjan Roy,POSITIVE,0.8504617
523,"As I said we have not seen a decline as yet, these are flattening and probably will start",NEUTRAL,0.77524567
524,"inching off, so we will continue to do what it takes to invest behind our employees because",NEGATIVE,0.52053386
525,we know this is more under comfort range which we would be happy in.,POSITIVE,0.77990294
526,"So, I think it is",POSITIVE,0.8736965
527,"premature to say when this will really come off, but as of now we are focused in doing all",POSITIVE,0.8797329
528,these interventions.,POSITIVE,0.88625336
529,This quarter itself like we mentioned 80 basis points of our margin,POSITIVE,0.8577388
530,was behind these employee interventions.,POSITIVE,0.7914702
531,Ashwin Mehta,POSITIVE,0.9054183
532,"Thanks a lot, congrats again and all the best.",NEGATIVE,0.5729432
533,Moderator,POSITIVE,0.87275183
534,go ahead.,POSITIVE,0.89627224
535,Sandip Agarwal,POSITIVE,0.7371651
536,"Good evening to the management team, happy New Year and thanks for taking my",NEGATIVE,0.83997965
537,question.,POSITIVE,0.8810517
538,"First, congratulations on a very good set of numbers.",NEGATIVE,0.62183136
539,"Salil, I have a very simple",POSITIVE,0.91117543
540,"question, you see now you know, our core which is 41% to 42% of the business is",POSITIVE,0.9414581
541,"stabilizing on a YoY basis, it is probably little growth is there, but digital continues to be at",NEGATIVE,0.87111896
542,"40% plus growth, so if this trend continues next year, may be our core may become 32%",NEGATIVE,0.6701994
543,"to 33% of the overall pie, so what is your sense from a long term perspective, where do",POSITIVE,0.9203565
544,you see this core stabilizing or do you think it will be unfair to see them separately and in,POSITIVE,0.68164647
545,the next two to three years you think everything will converge together.,POSITIVE,0.90283525
546,"So, any idea,",POSITIVE,0.9333382
547,anything which you can say on that front will be very helpful.,POSITIVE,0.7732072
548,Salil Parekh,POSITIVE,0.8668303
549,Thanks for that question.,POSITIVE,0.79512614
550,"First as you pointed out, the digital growth is strong at over 40%",NEGATIVE,0.855877
551,"or 42% and that shows resilience, the demand profile and our portfolio which is",NEGATIVE,0.8404453
552,overlapping.,POSITIVE,0.9006532
553,"The key for the core, instead of looking at the percentage of the business, the",POSITIVE,0.93990797
554,"key for us is really the core is now stable with a very small growth, so we did not see the",NEGATIVE,0.695457
555,decline that we had for some quarters and this makes it extremely strong for us.,NEGATIVE,0.8720597
556,We have,POSITIVE,0.8717359
557,probably the best capability in automation and modernization across the industry and with,NEGATIVE,0.75257176
558,"this while everyone else’s core is still shrinking, ours will be stable or possibly even have a",NEGATIVE,0.51455986
559,small uptick and that means we will be the most competitive in this area.,NEGATIVE,0.9351722
560,"So, I am looking",POSITIVE,0.8901824
561,at this as a very positive step.,NEGATIVE,0.61461335
562,"We of course have to maintain this, and we have to keep",POSITIVE,0.8916195
563,building out our automation capabilities.,NEGATIVE,0.49270436
564,"So, if we succeed in that, I think that is a very",NEGATIVE,0.5881148
565,good outlook for us in the quarters ahead.,NEGATIVE,0.9413159
566,Sandip Agarwal,POSITIVE,0.7371651
567,Thanks that is very helpful and best of luck for the current quarter.,NEGATIVE,0.93247414
568,Moderator,POSITIVE,0.87275183
569,Please go ahead.,POSITIVE,0.9280336
570,Nitin Padmanabhan,POSITIVE,0.88288265
571,"Good evening, everyone and thanks for the opportunity.",NEGATIVE,0.7390968
572,I had two questions.,POSITIVE,0.89422715
573,The first is,POSITIVE,0.9185032
574,on the employee side.,POSITIVE,0.91672003
575,"If you look at the employee cost under cost of revenue, it has",POSITIVE,0.71606004
576,"consistently been down as a percentage of revenue, it has actually below what it used to",NEUTRAL,0.9693877
577,be pre-COVID and a lot of growth has actually been added on the subcon side and even if,NEGATIVE,0.7144842
578,"you look at the numbers, it looks like most of the additions are all freshers.",POSITIVE,0.81813985
579,"So, keeping",POSITIVE,0.9065544
580,"this dynamic in mind, just wanted to understand as we go forward and may be attrition",POSITIVE,0.8836596
581,"normalizes, how do you see this subcon evolving from an operational perspective, do you",POSITIVE,0.92045754
582,think you will have to hire these subcontractors directly on to your rolls and would that,POSITIVE,0.9225395
583,"involve slightly higher cost, so how should one think of this dynamic overall was the first",POSITIVE,0.9263308
584,question?,POSITIVE,0.8591241
585,The second question was around the digital proportion of the business has meaningfully,POSITIVE,0.90915436
586,gone up and if you look into the next year and I am sure it will be even higher.,NEGATIVE,0.8930438
587,From that,POSITIVE,0.92048144
588,perspective does that mean that our ability to sort of garner price increases will be far,NEGATIVE,0.8590697
589,higher going into next year than what you see today?,NEGATIVE,0.67937875
590,Thank you.,POSITIVE,0.8234813
591,Nilanjan Roy,POSITIVE,0.8504617
592,I will take the first question on subcon.,POSITIVE,0.9446402
593,As Salil said the demand environment is so strong,POSITIVE,0.6894576
594,that we do not want to leave anything on the table and therefore whether it is through,POSITIVE,0.9293204
595,"subcon or through lateral or freshers, we will first intend to fulfill that demand and of",POSITIVE,0.8488663
596,course over a period of time we will optimize that entire structure.,POSITIVE,0.75624
597,"So, whether it is",POSITIVE,0.91617656
598,"programmed to rehire some of the subcon, some of them we will of course lapse and then",POSITIVE,0.56799
599,"we will get the lateral hires, some will be promoted, so within that the dynamics will play",POSITIVE,0.85935444
600,itself out over the next year.,POSITIVE,0.91269636
601,But at the moment it is critical that we do not leave any,POSITIVE,0.90648055
602,demand in the table and of course this will remain a optimization lever for us.,NEGATIVE,0.6724805
603,We were,POSITIVE,0.89065164
604,"one of the lowest in the industry at about 6.9%, pre-COVID and we are above 11% now",NEUTRAL,0.9082599
605,"but this is the lever, we will have over the medium-term to optimize.",NEGATIVE,0.63663125
606,Salil Parekh,POSITIVE,0.8668303
607,"On the pricing, as the digital work will increase what we have been putting in place which",NEGATIVE,0.7874666
608,is demonstrating to our clients the value creation through digital will give us a larger,NEGATIVE,0.7673376
609,opportunity for that because the revenue will be larger.,NEGATIVE,0.5914085
610,"So, I think your assumption is",POSITIVE,0.86427766
611,"absolutely valid, you will have an additional ability to do that as long as we execute in that",POSITIVE,0.87606794
612,value.,POSITIVE,0.924242
613,Nitin Padmanabhan,POSITIVE,0.88288265
614,Thanks for that.,POSITIVE,0.709541
615,"Just a clarification on the first answer, so on the first point considering",POSITIVE,0.9383667
616,fresher addition are so strong this year and subcon is so strong does it mean that next,POSITIVE,0.5396679
617,"year our ability to add as many freshers will be little more inhibited, in the sense that we",NEGATIVE,0.90037227
618,"will need to focus a little more on laterals next year, is that a way to think about it?",POSITIVE,0.89398605
619,Nilanjan Roy,POSITIVE,0.8504617
620,No.,POSITIVE,0.8540522
621,I do not think so.,POSITIVE,0.8501014
622,I think we will continue to have a very robust fresher program - it has,NEGATIVE,0.9300545
623,always been there.,POSITIVE,0.8822545
624,We have a strong internal rotation program so people based on the,POSITIVE,0.7973046
625,"skills, we take them through our reskilling program and we then move them to new project,",POSITIVE,0.9337725
626,promotions etc.,POSITIVE,0.94152707
627,"So, in that sense we think it will be a combination of both laterals and",POSITIVE,0.8733793
628,"freshers, and I do not think we see a change in that.",POSITIVE,0.8088642
629,Nitin Padmanabhan - Investec,POSITIVE,0.92061406
630,Fair enough.,POSITIVE,0.82909113
631,Thank you so much and all the very best.,NEGATIVE,0.6435338
632,Margaret - Moderator,POSITIVE,0.92569476
633,Please go ahead.,POSITIVE,0.9280336
634,Sandeep Shah,POSITIVE,0.9090903
635,Thanks for the opportunity and congratulations on a solid execution both on revenue and,NEGATIVE,0.94783396
636,margins.,POSITIVE,0.8804396
637,The first question is CY2021 or FY2022 had a benefit of mega deal wins,POSITIVE,0.9230652
638,especially from Vanguard as well as Daimler as well as some amount of pent-up demand,NEGATIVE,0.8138418
639,for you as well as the industry.,POSITIVE,0.89706457
640,"So, the question is entering into next year do you believe",POSITIVE,0.9295269
641,that these elements one has to take care in terms of tapering off any growth in the next,POSITIVE,0.8246537
642,year or you do believe the digital adoption or the cloud adoption journey has a low,POSITIVE,0.90291035
643,penetration which does not make us upset in looking in the next year in terms of the,POSITIVE,0.8452729
644,growth momentum?,POSITIVE,0.85122466
645,Salil Parekh,POSITIVE,0.8668303
646,Thanks for your question.,POSITIVE,0.8120798
647,"First, the guidance increase, as I am sure you are seeing this for",NEGATIVE,0.5484942
648,the year ending March of this year.,POSITIVE,0.93790424
649,We are not yet commenting in terms of quantitative,POSITIVE,0.94740486
650,guidance for next year.,POSITIVE,0.9403665
651,What is clear nonetheless is the demand environment remains,POSITIVE,0.91041595
652,"strong and our portfolio of services and capabilities, especially on cloud and digital are",NEGATIVE,0.70515805
653,resonating well with clients so we see a good pipeline for that.,NEGATIVE,0.9144053
654,Our large deals in this,POSITIVE,0.7918282
655,quarter also very strong.,NEGATIVE,0.9132025
656,We continue to see a good large deal pipeline.,NEGATIVE,0.88766223
657,We have seen a,POSITIVE,0.8017207
658,"steady expansion of our clients over $50, $100, $200 mn and so on.",NEGATIVE,0.87715936
659,We have seen that,POSITIVE,0.8547935
660,expansion within clients is working very well and also our new client wins and new,NEGATIVE,0.9139716
661,accounts are working well.,NEGATIVE,0.7234497
662,So overall we have the various elements of continuing this,POSITIVE,0.8713787
663,demand environment strongly but we do not have a specific guidance yet for year starting,POSITIVE,0.82891786
664,"in April 1, 2022.",POSITIVE,0.95240587
665,Sandeep Shah,POSITIVE,0.9090903
666,Fair enough and just last two bookkeeping questions.,POSITIVE,0.9334603
667,The way I look at is Daimler deal,POSITIVE,0.9360995
668,has two legs to ramp up one being the rebadging and employee related ramp up and,POSITIVE,0.8064445
669,second being the pass-through data center related ramp up.,POSITIVE,0.8646666
670,Is it fair to say that most of,POSITIVE,0.8998104
671,these two legs ramp up is largely behind or may continue in Q4 as well as 1Q of next,POSITIVE,0.7523905
672,"financial year and second in terms of FY2022 wage hike, is it largely over or something is",NEUTRAL,0.5537741
673,due in the fourth quarter as well?,POSITIVE,0.9414603
674,Salil Parekh,POSITIVE,0.8668303
675,"On the Daimler, we do not have any more specifics.",POSITIVE,0.93367046
676,I can understand what you are,POSITIVE,0.9059611
677,"looking for, but we have not gone into that specifics now with Q3 and Q4.",POSITIVE,0.9239264
678,The overall,POSITIVE,0.8571408
679,guidance for increase of the revenue covers all of that including Daimler and many other,POSITIVE,0.90268904
680,clients and especially with Q4 and the seasonality of that quarter.,POSITIVE,0.8478435
681,"In terms of salary and compensation increases, we have done three of them for this year.",NEGATIVE,0.7564191
682,There is nothing specific that is planned for Q4.,POSITIVE,0.9393105
683,We will start to look at what we will do in,POSITIVE,0.9287949
684,the next financial year but nothing specific is being planned in Q4.,POSITIVE,0.9483977
685,Sandeep Shah,POSITIVE,0.9090903
686,"Thanks, and all the best Sir.",NEGATIVE,0.7454115
687,Moderator,POSITIVE,0.87275183
688,go ahead.,POSITIVE,0.89627224
689,Manik Taneja,POSITIVE,0.9157631
690,Thank you for the opportunity.,POSITIVE,0.53549737
691,Just wanted to understand we have seen a significant,NEGATIVE,0.6194407
692,increase in offshore mix of revenues over the last 18 months and this quarter saw a slight,NEGATIVE,0.9533653
693,aberration.,NEUTRAL,0.5357224
694,What caused that and how do you see this going forward?,POSITIVE,0.9177225
695,Thank you.,POSITIVE,0.8234813
696,Salil Parekh,POSITIVE,0.8668303
697,The mix has changed over the last 18 months with a lot of the remote working that was,POSITIVE,0.82725614
698,put in place and work from home allowing the work to be delivered from a different,POSITIVE,0.9250487
699,location with tremendous yields and efficiency.,POSITIVE,0.49915624
700,"What we saw in the last quarter was, some",POSITIVE,0.8366687
701,things have opened up in terms of travel and we are also being extremely optimal in what,NEGATIVE,0.81740475
702,we have done in the previous quarters and this is something that has given us more ability,NEGATIVE,0.8082288
703,to drive connects with clients and growth.,POSITIVE,0.6869354
704,"We see in the medium-term, tremendous",POSITIVE,0.828109
705,opportunity for an efficient mix because clients have also seen that once the work is done,NEGATIVE,0.67580765
706,"remotely or work from home that more opportunity exists, there are work to be done from",POSITIVE,0.916421
707,a location further away.,POSITIVE,0.8840184
708,"So, in general as a medium-term trend we see that as a positive",NEGATIVE,0.50869465
709,"trend, we will have of course each quarter some movements up and down but as a longer-",POSITIVE,0.83140516
710,term trend we see that as a positive trend.,NEGATIVE,0.8235977
711,Manik Taneja,POSITIVE,0.9157631
712,Thank you Salil.,POSITIVE,0.8086494
713,I had one more additional question.,POSITIVE,0.89056677
714,Just wanted to get your thoughts,POSITIVE,0.9068062
715,"around what we are seeing from a revenue productivity metrics standpoint, for revenue",POSITIVE,0.86191356
716,per person standpoint and while there is significant amount of offshore shift over the last,POSITIVE,0.6325861
717,"18 months, we have seen utilization go up.",NEGATIVE,0.9571321
718,"So, what is causing the increase in revenue",POSITIVE,0.82236046
719,productivity despite a significant offshore shift that we have seen over the last 18 months.,NEGATIVE,0.9283871
720,If you could talk about some of the factors that are driving it?,POSITIVE,0.9324051
721,Thank you.,POSITIVE,0.8234813
722,Salil Parekh,POSITIVE,0.8668303
723,On the revenue productivity there are a number of things that are going on.,POSITIVE,0.74477446
724,We see some,POSITIVE,0.89100754
725,of the mix of our work which is also changing more to digital and there we see much more,POSITIVE,0.736446
726,revenue productivity coming in.,NEGATIVE,0.9084231
727,As you pointed out utilization has also gone up.,NEGATIVE,0.7099833
728,We will,POSITIVE,0.9214686
729,"also see some of our work, for example on the consulting side, data and analytics side",POSITIVE,0.93302566
730,growing well and that is giving us some level of boost.,NEGATIVE,0.9453938
731,There is also some impact which,POSITIVE,0.84195364
732,we have not quantified externally on leveraging some amount of automation and platforms,POSITIVE,0.9060186
733,that gives us this benefit.,NEGATIVE,0.58527315
734,"So, there are several factors at work despite the onshore",POSITIVE,0.8679618
735,offshore mix changes.,POSITIVE,0.75073487
736,Manik Taneja,POSITIVE,0.9157631
737,"Sure, thank you and all the best for future.",NEGATIVE,0.71172106
738,Moderator,POSITIVE,0.87275183
739,ahead.,POSITIVE,0.8797629
740,Rahul Jain,POSITIVE,0.8879981
741,Thanks for the opportunity and congratulations.,NEGATIVE,0.6274804
742,I have a question regarding the core,POSITIVE,0.9030963
743,"revenue which has seen stabilization this year, I think you have addressed this point partly",NEGATIVE,0.57920957
744,but wanted to understand what could be the prospect for this side of the revenue in the,POSITIVE,0.92810196
745,coming years especially when we talk about so much shift to digitalization?,POSITIVE,0.9223208
746,Salil Parekh,POSITIVE,0.8668303
747,"There we have no individual guidance for digital or for the core in that sense, even for Q4",POSITIVE,0.9423126
748,or for the next financial year.,POSITIVE,0.9187232
749,But structurally what is clear is we have been successful in,NEGATIVE,0.91029847
750,driving automation and modernization while we make sure that we are probably the most,POSITIVE,0.7553812
751,"competitive large player in the market, working with large clients.",POSITIVE,0.7329301
752,This certainly enhances,NEGATIVE,0.78782415
753,"the strong confidence and if we can continue to execute on that, it will have its own",NEGATIVE,0.7615129
754,benefits in the medium term.,NEGATIVE,0.6431523
755,Rahul Jain,POSITIVE,0.8879981
756,One more thing on the taxation part our tax rate you know steadily has been upwards of,NEUTRAL,0.4492751
757,"27% on an average, this looks little higher given the country where most of our earnings",NEGATIVE,0.71066874
758,belongs to so any flavor you can share in terms of what should be the ideal tax rate on a,POSITIVE,0.86623013
759,sustainable basis and in near-term?,POSITIVE,0.8061344
760,Nilanjan Roy,POSITIVE,0.8504617
761,"Our tax rate has always hovered around this 27%, 28% range and I do not think you will",POSITIVE,0.8541612
762,see much movement going against the range.,POSITIVE,0.8546933
763,"Because in any case, as you know, this is",POSITIVE,0.90899575
764,India rate plus other countries.,POSITIVE,0.81670564
765,25% is India-only rate.,POSITIVE,0.94151103
766,"So I think, in the long run, you will",POSITIVE,0.7681867
767,be around this range itself.,POSITIVE,0.89035815
768,Rahul Jain,POSITIVE,0.8879981
769,So which regions tax rate are much higher than the 25% rate also for taking this number,POSITIVE,0.86335844
770,higher than the average?,POSITIVE,0.5059387
771,Nilanjan Roy,POSITIVE,0.8504617
772,"Yes, so see we cannot give that individually, but there are some jurisdictions and also in",POSITIVE,0.9411126
773,"some jurisdiction where those taxes cannot be set off here as well, so it is a combination",POSITIVE,0.93155026
774,of both.,POSITIVE,0.85290456
775,Rahul Jain,POSITIVE,0.8879981
776,Okay so if we are not able to set that off those results in double taxation.,NEUTRAL,0.5752914
777,That is also a,POSITIVE,0.8177253
778,reason okay got it thank you so much.,NEGATIVE,0.80792207
779,Moderator,POSITIVE,0.87275183
780,Please go ahead.,POSITIVE,0.9280336
781,James Friedman,POSITIVE,0.92763513
782,Let me echo the congratulations for this fiscal year.,POSITIVE,0.8794898
783,I just had one simple question across,POSITIVE,0.92595565
784,"for Nilanjan, can you remind us what the capital allocation strategy is.",POSITIVE,0.9319176
785,I remember you had,POSITIVE,0.888325
786,put it out during the analyst day in November 2020 but where is share repurchase in the,POSITIVE,0.9415724
787,prioritization.,POSITIVE,0.935267
788,Thank you.,POSITIVE,0.8234813
789,Nilanjan Roy,POSITIVE,0.8504617
790,"What we had announced in FY20 basically, was that we have taken capital allocation to",POSITIVE,0.79769117
791,"85%, prior to this it was 70% and we said that we will take that over the period of 5 years",POSITIVE,0.9124814
792,through a combination of progressive growth-oriented dividend policy plus either share,POSITIVE,0.811782
793,buyback or one off special dividends.,POSITIVE,0.9254279
794,"And in the first two years, as we have announced,",POSITIVE,0.8386062
795,we have actually paid back 82% through higher increased normal dividends and also,NEGATIVE,0.9378435
796,through share buyback which we announced last year.,POSITIVE,0.9086055
797,We have already paid back 82%,POSITIVE,0.7514486
798,and we remain quite committed to overall 85% over 5 years.,NEGATIVE,0.90036017
799,James Friedman,POSITIVE,0.92763513
800,Got it.,POSITIVE,0.8938929
801,Thank you so much.,POSITIVE,0.58288467
802,Moderator,POSITIVE,0.87275183
803,ahead.,POSITIVE,0.8797629
804,Vimal Gohil,POSITIVE,0.91648495
805,Thank you for the opportunity and congratulations on a great quarter.,NEGATIVE,0.87433374
806,My question is on,POSITIVE,0.92086977
807,your employee cost which partially has been addressed but how should we think about the,POSITIVE,0.8369514
808,core employee cost growth which comes under the cost of revenue which has seen,NEGATIVE,0.8224626
809,around 4% CQGR increase over Q1 of FY2021 versus the 6% revenue growth and this,NEGATIVE,0.95529646
810,has been in light of a very sharp increase in attrition and of course further supply,NEUTRAL,0.87212414
811,challenges and etc.,POSITIVE,0.92039114
812,"So, if you can just highlight, are our wage hikes in line with the",POSITIVE,0.73733425
813,industry or have they been much higher than the industry?,POSITIVE,0.81116676
814,How should we think about this,POSITIVE,0.9290271
815,historically and if you could give some kind of an outlook over there as well?,POSITIVE,0.9094498
816,Thanks.,POSITIVE,0.8105389
817,Nilanjan Roy,POSITIVE,0.8504617
818,"Yes, so you have to see both employee cost and subcon together as the cost of people as",POSITIVE,0.85449684
819,"a combination, you cannot see one in isolation that is number one.",POSITIVE,0.9255681
820,"Number two, just from",POSITIVE,0.9016113
821,"an overall cost perspective, we of course are very focused on the attrition and being",POSITIVE,0.87007797
822,competitive in the markets as well as being employer of choice for many of our employee.,NEGATIVE,0.5449796
823,"Going ahead when we look at intervention on the compensation side like Salil said, we did",POSITIVE,0.7959598
824,"across, in January, we did across the board, in July we have done across the board, in Q3",POSITIVE,0.5556204
825,as well we have done very segmented and for targeted talent and we will continue doing,NEGATIVE,0.798656
826,"that into Q4 etc., looking at high points of attrition and doing it much more tactically to see",POSITIVE,0.9192046
827,where we are seeing demand being high in the markets for those skills and target those,NEGATIVE,0.6535124
828,employees really.,POSITIVE,0.77382594
829,"So, I think it is very nuanced like I said and we will continue doing that.",POSITIVE,0.84668165
830,Vimal Gohil,POSITIVE,0.91648495
831,"Sir, so basically if we were to look at your guidance, it implies 0% to 2% sort of a revenue",POSITIVE,0.92134815
832,growth in Q4.,NEGATIVE,0.86253774
833,"Considering the fact that there were some furloughs in Q3, your revenue",POSITIVE,0.51733613
834,growth could be higher than what you have reported in Q3.,NEGATIVE,0.9405119
835,"So, is your guidance",POSITIVE,0.9303419
836,conservative at this point in time how should we think about that?,POSITIVE,0.92337483
837,Salil Parekh,POSITIVE,0.8668303
838,"In terms of the guidance, it was very strong.",NEGATIVE,0.88784856
839,It is 19.5% to 20%.,POSITIVE,0.89253026
840,There is no further color in,POSITIVE,0.92434496
841,"saying whether it is conservative, aggressive, or stable.",POSITIVE,0.9143531
842,We see a very good demand,NEGATIVE,0.89588964
843,outlook; we see good large deals and good portfolio and the guidance is a very big move,NEGATIVE,0.8622715
844,up from where we were in the last quarter.,NEGATIVE,0.94283175
845,Vimal Gohil – Union AMC,POSITIVE,0.64920694
846,Fair enough Sir.,POSITIVE,0.8684275
847,Thank you so much and all the very best.,NEGATIVE,0.6435338
848,Moderator,POSITIVE,0.87275183
849,Thank you.,POSITIVE,0.8234813
850,Ladies and gentlemen that was the last question for today.,POSITIVE,0.8992832
851,I now hand the,POSITIVE,0.90744466
852,conference over the management for closing comments.,POSITIVE,0.8934812
853,Salil Parekh,POSITIVE,0.8668303
854,Thank you everyone.,POSITIVE,0.81536984
855,This is Salil.,POSITIVE,0.9153308
856,Just to close from our side.,POSITIVE,0.91705865
857,"First, thank you all for",POSITIVE,0.81345445
858,making your time.,POSITIVE,0.8759545
859,"We feel extremely good about the quarter, 7% growth QoQ, 21.5% in",NEGATIVE,0.9432383
860,"YoY, very strong digital 42.6%, very good on large deals $2.5 bn.",NEGATIVE,0.94061416
861,So overall we see,POSITIVE,0.6293889
862,excellent market demand and we are seeing market share gains which is a very good sign,NEGATIVE,0.95433474
863,"for us, primarily which are coming from a well positioned portfolio and a good execution",NEGATIVE,0.83301485
864,from all our teams.,POSITIVE,0.8712881
865,"Our revenue guidance of course has gone up from 19.5% to 20%,",NEGATIVE,0.9548794
866,operating margins remains at a good level at 23.5% and we have good strong trust and,NEGATIVE,0.948147
867,confidence of our clients.,POSITIVE,0.5834201
868,"Overall, a strong outlook and positive about what we see in the",NEGATIVE,0.872525
869,future for our digital and cloud transformation programs.,POSITIVE,0.8259176
870,With that thank you all wish you a Happy New Year and look forward to catching up in,NEGATIVE,0.79368114
871,April.,POSITIVE,0.80642694
872,Sandeep Mahindroo,POSITIVE,0.8899787
873,Thanks Salil for closing comments and thanks again for joining us on this call.,NEGATIVE,0.8548319
874,Look,POSITIVE,0.8850929
875,forward to talking to you again during the year.,POSITIVE,0.79967725
876,Thank you.,POSITIVE,0.8234813
